station1,lat1,long1,2015,2016,2017,2018,2019,2020
Dixon Mills,40.721630142638354,-74.04996782541275,0.0,2738.0,5395.0,5757.0,6667.0,4300.0
Marin Light Rail,40.71458403535893,-74.04281705617905,0.0,4163.0,7918.0,10371.0,14196.0,12210.0
Manila & 1st,40.721650724879986,-74.04288411140442,0.0,1765.0,5074.0,6527.0,7377.0,4726.0
Columbus Drive,40.71835519823214,-74.03891444206238,0.0,2770.0,7009.0,7157.0,8585.0,6546.0
Bethune Center,40.704957516728605,-74.08593088388443,0.0,29.0,61.0,24.0,0.0,0.0
Leonard Gordon Park,40.74590996631558,-74.0572714805603,0.0,558.0,1643.0,2685.0,2270.0,1075.0
Danforth Light Rail,40.69263996618329,-74.08801227807997,0.0,60.0,238.0,19.0,0.0,0.0
Brunswick & 6th,40.72601172964625,-74.05038893222809,0.0,859.0,6264.0,8251.0,9678.0,4878.0
Astor Place,40.71928220070702,-74.07126188278198,0.0,177.0,2147.0,2898.0,3792.0,3182.0
JCBS Depot,40.70965083364061,-74.06860113143921,0.0,1.0,7.0,53.0,43.0,1.0
Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,0.0,34.0,908.0,1404.0,1875.0,2036.0
York St,40.71649,-74.04105,0.0,0.0,957.0,3301.0,3555.0,2975.0
Harborside,40.7192517,-74.034234,0.0,0.0,2076.0,12105.0,17877.0,11712.0
Washington St,40.7242941,-74.0354826,0.0,0.0,1306.0,7344.0,9824.0,7904.0
Journal Square,40.73367,-74.0625,0.0,0.0,666.0,5819.0,7684.0,2710.0
Montgomery St,40.71942,-74.05099,0.0,0.0,0.0,2624.0,4364.0,3564.0
Glenwood Ave,40.72755146730012,-74.07106071710587,0.0,0.0,0.0,1159.0,2238.0,1745.0
Fairmount Ave,40.72572613742557,-74.07195925712585,0.0,0.0,0.0,2532.0,3443.0,2869.0
Bergen Ave,40.722103786686034,-74.07145500183105,0.0,0.0,0.0,2416.0,3242.0,3224.0
Grand St,40.71517767732029,-74.03768330812454,0.0,0.0,0.0,4252.0,6242.0,4516.0
Jackson Square,40.71113,-74.0789,0.0,0.0,0.0,396.0,1002.0,1342.0
Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131607,0.0,0.0,0.0,0.0,1563.0,3694.0
Columbus Dr at Exchange Pl,40.71687,-74.03281,0.0,0.0,0.0,0.0,9027.0,11626.0
