,year,st1,st2
10744,2019,Riverview Park,Union St
10745,2019,Riverview Park,Van Vorst Park
10746,2019,Riverview Park,W 38 St & 8 Ave
10747,2019,Riverview Park,W 44 St & 5 Ave
10748,2019,Riverview Park,Warren St
10749,2019,Riverview Park,Washington St
10750,2019,Riverview Park,York St
10751,2019,Sip Ave,12 Ave & W 40 St
10752,2019,Sip Ave,5 Corners Library
10753,2019,Sip Ave,Astor Place
10754,2019,Sip Ave,Baldwin at Montgomery
10755,2019,Sip Ave,Bergen Ave
10756,2019,Sip Ave,Broadway & W 56 St
10757,2019,Sip Ave,Brunswick & 6th
10758,2019,Sip Ave,Brunswick St
10759,2019,Sip Ave,Christ Hospital
10760,2019,Sip Ave,City Hall
10761,2019,Sip Ave,Columbus Dr at Exchange Pl
10762,2019,Sip Ave,Columbus Drive
10763,2019,Sip Ave,Communipaw & Berry Lane
10764,2019,Sip Ave,Dey St
10765,2019,Sip Ave,Dixon Mills
10766,2019,Sip Ave,Essex Light Rail
10767,2019,Sip Ave,Exchange Place
10768,2019,Sip Ave,Fairmount Ave
10769,2019,Sip Ave,Glenwood Ave
10770,2019,Sip Ave,Grand St
10771,2019,Sip Ave,Grove St PATH
10772,2019,Sip Ave,Hamilton Park
10773,2019,Sip Ave,Harborside
10774,2019,Sip Ave,Heights Elevator
10775,2019,Sip Ave,Hilltop
10776,2019,Sip Ave,Hoboken Ave at Monmouth St
10777,2019,Sip Ave,JC Medical Center
10778,2019,Sip Ave,JCBS Depot
10779,2019,Sip Ave,Jackson Square
10780,2019,Sip Ave,Jersey & 3rd
10781,2019,Sip Ave,Jersey & 6th St
10782,2019,Sip Ave,Journal Square
10783,2019,Sip Ave,Lafayette Park
10784,2019,Sip Ave,Leonard Gordon Park
10785,2019,Sip Ave,Liberty Light Rail
10786,2019,Sip Ave,Lincoln Park
10787,2019,Sip Ave,Manila & 1st
10788,2019,Sip Ave,Marin Light Rail
10789,2019,Sip Ave,McGinley Square
10790,2019,Sip Ave,Monmouth and 6th
10791,2019,Sip Ave,Montgomery St
10792,2019,Sip Ave,Morris Canal
10793,2019,Sip Ave,Newark Ave
10794,2019,Sip Ave,Newport PATH
10795,2019,Sip Ave,Newport Pkwy
10796,2019,Sip Ave,Oakland Ave
10797,2019,Sip Ave,Paulus Hook
10798,2019,Sip Ave,Pershing Field
10799,2019,Sip Ave,Riverview Park
10800,2019,Sip Ave,Sip Ave
10801,2019,Sip Ave,Union St
10802,2019,Sip Ave,Van Vorst Park
10803,2019,Sip Ave,W 41 St & 8 Ave
10804,2019,Sip Ave,Warren St
10805,2019,Sip Ave,Washington St
10806,2019,Sip Ave,York St
10807,2019,Union St,5 Corners Library
10808,2019,Union St,Astor Place
10809,2019,Union St,Baldwin at Montgomery
10810,2019,Union St,Bergen Ave
10811,2019,Union St,Brunswick & 6th
10812,2019,Union St,Brunswick St
10813,2019,Union St,Christ Hospital
10814,2019,Union St,City Hall
10815,2019,Union St,Columbus Dr at Exchange Pl
10816,2019,Union St,Columbus Drive
10817,2019,Union St,Communipaw & Berry Lane
10818,2019,Union St,Dey St
10819,2019,Union St,Essex Light Rail
10820,2019,Union St,Exchange Place
10821,2019,Union St,Fairmount Ave
10822,2019,Union St,Glenwood Ave
10823,2019,Union St,Grand St
10824,2019,Union St,Grove St PATH
10825,2019,Union St,Hamilton Park
10826,2019,Union St,Harborside
10827,2019,Union St,Heights Elevator
10828,2019,Union St,Hilltop
10829,2019,Union St,JC Medical Center
10830,2019,Union St,JCBS Depot
10831,2019,Union St,Jackson Square
10832,2019,Union St,Jersey & 3rd
10833,2019,Union St,Journal Square
10834,2019,Union St,Lafayette Park
10835,2019,Union St,Leonard Gordon Park
10836,2019,Union St,Liberty Light Rail
10837,2019,Union St,Lincoln Park
10838,2019,Union St,McGinley Square
10839,2019,Union St,Montgomery St
10840,2019,Union St,Morris Canal
10841,2019,Union St,Newark Ave
10842,2019,Union St,Newport PATH
10843,2019,Union St,Newport Pkwy
10844,2019,Union St,Oakland Ave
10845,2019,Union St,Paulus Hook
10846,2019,Union St,Pershing Field
10847,2019,Union St,Sip Ave
10848,2019,Union St,South End Ave & Liberty St
10849,2019,Union St,Union St
10850,2019,Union St,Van Vorst Park
10851,2019,Union St,Warren St
10852,2019,Union St,Washington St
10853,2019,Union St,York St
10854,2019,Van Vorst Park,5 Corners Library
10855,2019,Van Vorst Park,Amsterdam Ave & W 79 St
10856,2019,Van Vorst Park,Astor Place
10857,2019,Van Vorst Park,Baldwin at Montgomery
10858,2019,Van Vorst Park,Bergen Ave
10859,2019,Van Vorst Park,Brunswick & 6th
10860,2019,Van Vorst Park,Brunswick St
10861,2019,Van Vorst Park,Christ Hospital
10862,2019,Van Vorst Park,City Hall
10863,2019,Van Vorst Park,Columbus Dr at Exchange Pl
10864,2019,Van Vorst Park,Columbus Drive
10865,2019,Van Vorst Park,Communipaw & Berry Lane
10866,2019,Van Vorst Park,Dey St
10867,2019,Van Vorst Park,Dixon Mills
10868,2019,Van Vorst Park,Essex Light Rail
10869,2019,Van Vorst Park,Exchange Place
10870,2019,Van Vorst Park,Fairmount Ave
10871,2019,Van Vorst Park,Glenwood Ave
10872,2019,Van Vorst Park,Grand St
10873,2019,Van Vorst Park,Grove St PATH
10874,2019,Van Vorst Park,Hamilton Park
10875,2019,Van Vorst Park,Harborside
10876,2019,Van Vorst Park,Heights Elevator
10877,2019,Van Vorst Park,Hilltop
10878,2019,Van Vorst Park,Hoboken Ave at Monmouth St
10879,2019,Van Vorst Park,JC Medical Center
10880,2019,Van Vorst Park,Jackson Square
10881,2019,Van Vorst Park,Jersey & 3rd
10882,2019,Van Vorst Park,Jersey & 6th St
10883,2019,Van Vorst Park,Journal Square
10884,2019,Van Vorst Park,Lafayette Park
10885,2019,Van Vorst Park,Leonard Gordon Park
10886,2019,Van Vorst Park,Liberty Light Rail
10887,2019,Van Vorst Park,Liberty St & Broadway
10888,2019,Van Vorst Park,Lincoln Park
10889,2019,Van Vorst Park,Manila & 1st
10890,2019,Van Vorst Park,Marin Light Rail
10891,2019,Van Vorst Park,McGinley Square
10892,2019,Van Vorst Park,Monmouth and 6th
10893,2019,Van Vorst Park,Montgomery St
10894,2019,Van Vorst Park,Morris Canal
10895,2019,Van Vorst Park,Newark Ave
10896,2019,Van Vorst Park,Newport PATH
10897,2019,Van Vorst Park,Newport Pkwy
10898,2019,Van Vorst Park,Paulus Hook
10899,2019,Van Vorst Park,Pershing Field
10900,2019,Van Vorst Park,Riverview Park
10901,2019,Van Vorst Park,Sip Ave
10902,2019,Van Vorst Park,Union St
10903,2019,Van Vorst Park,Van Vorst Park
10904,2019,Van Vorst Park,Warren St
10905,2019,Van Vorst Park,Washington St
10906,2019,Van Vorst Park,York St
10907,2019,Warren St,5 Corners Library
10908,2019,Warren St,Astor Place
10909,2019,Warren St,Baldwin at Montgomery
10910,2019,Warren St,Bergen Ave
10911,2019,Warren St,Brunswick & 6th
10912,2019,Warren St,Brunswick St
10913,2019,Warren St,Christ Hospital
10914,2019,Warren St,City Hall
10915,2019,Warren St,Columbus Dr at Exchange Pl
10916,2019,Warren St,Columbus Drive
10917,2019,Warren St,Communipaw & Berry Lane
10918,2019,Warren St,Dey St
10919,2019,Warren St,Dixon Mills
10920,2019,Warren St,Essex Light Rail
10921,2019,Warren St,Exchange Place
10922,2019,Warren St,Fairmount Ave
10923,2019,Warren St,Glenwood Ave
10924,2019,Warren St,Grand St
10925,2019,Warren St,Grove St PATH
10926,2019,Warren St,Hamilton Park
10927,2019,Warren St,Harborside
10928,2019,Warren St,Heights Elevator
10929,2019,Warren St,Hilltop
10930,2019,Warren St,Hoboken Ave at Monmouth St
10931,2019,Warren St,JC Medical Center
10932,2019,Warren St,Jackson Square
10933,2019,Warren St,Jersey & 3rd
10934,2019,Warren St,Jersey & 6th St
10935,2019,Warren St,Journal Square
10936,2019,Warren St,Lafayette Park
10937,2019,Warren St,Leonard Gordon Park
10938,2019,Warren St,Liberty Light Rail
10939,2019,Warren St,Lincoln Park
10940,2019,Warren St,Manila & 1st
10941,2019,Warren St,Marin Light Rail
10942,2019,Warren St,McGinley Square
10943,2019,Warren St,Monmouth and 6th
10944,2019,Warren St,Montgomery St
10945,2019,Warren St,Morris Canal
10946,2019,Warren St,Newark Ave
10947,2019,Warren St,Newport PATH
10948,2019,Warren St,Newport Pkwy
10949,2019,Warren St,Oakland Ave
10950,2019,Warren St,Paulus Hook
10951,2019,Warren St,Pershing Field
10952,2019,Warren St,Riverview Park
10953,2019,Warren St,Sip Ave
10954,2019,Warren St,South End Ave & Liberty St
10955,2019,Warren St,Union St
10956,2019,Warren St,Van Vorst Park
10957,2019,Warren St,Vesey Pl & River Terrace
10958,2019,Warren St,Warren St
10959,2019,Warren St,Washington St
10960,2019,Warren St,York St
10961,2019,Washington St,5 Corners Library
10962,2019,Washington St,Astor Place
10963,2019,Washington St,Baldwin at Montgomery
10964,2019,Washington St,Bergen Ave
10965,2019,Washington St,Brunswick & 6th
10966,2019,Washington St,Brunswick St
10967,2019,Washington St,Christ Hospital
10968,2019,Washington St,Christopher St & Greenwich St
10969,2019,Washington St,City Hall
10970,2019,Washington St,Columbus Dr at Exchange Pl
10971,2019,Washington St,Columbus Drive
10972,2019,Washington St,Communipaw & Berry Lane
10973,2019,Washington St,Dey St
10974,2019,Washington St,Dixon Mills
10975,2019,Washington St,Essex Light Rail
10976,2019,Washington St,Exchange Place
10977,2019,Washington St,Fairmount Ave
10978,2019,Washington St,Glenwood Ave
10979,2019,Washington St,Grand St
10980,2019,Washington St,Grove St PATH
10981,2019,Washington St,Hamilton Park
10982,2019,Washington St,Harborside
10983,2019,Washington St,Heights Elevator
10984,2019,Washington St,Hilltop
10985,2019,Washington St,Hoboken Ave at Monmouth St
10986,2019,Washington St,JC Medical Center
10987,2019,Washington St,JCBS Depot
10988,2019,Washington St,Jackson Square
10989,2019,Washington St,Jersey & 3rd
10990,2019,Washington St,Jersey & 6th St
10991,2019,Washington St,Journal Square
10992,2019,Washington St,Lafayette Park
10993,2019,Washington St,Leonard Gordon Park
10994,2019,Washington St,Liberty Light Rail
10995,2019,Washington St,Manila & 1st
10996,2019,Washington St,Marin Light Rail
10997,2019,Washington St,McGinley Square
10998,2019,Washington St,Monmouth and 6th
10999,2019,Washington St,Montgomery St
11000,2019,Washington St,Morris Canal
11001,2019,Washington St,Newark Ave
11002,2019,Washington St,Newport PATH
11003,2019,Washington St,Newport Pkwy
11004,2019,Washington St,North Moore St & Greenwich St
11005,2019,Washington St,Oakland Ave
11006,2019,Washington St,Paulus Hook
11007,2019,Washington St,Pershing Field
11008,2019,Washington St,Riverview Park
11009,2019,Washington St,Sip Ave
11010,2019,Washington St,Van Vorst Park
11011,2019,Washington St,Vesey Pl & River Terrace
11012,2019,Washington St,W 43 St & 6 Ave
11013,2019,Washington St,Warren St
11014,2019,Washington St,Washington St
11015,2019,Washington St,York St
11016,2019,York St,5 Corners Library
11017,2019,York St,Astor Place
11018,2019,York St,Baldwin at Montgomery
11019,2019,York St,Brunswick & 6th
11020,2019,York St,Brunswick St
11021,2019,York St,City Hall
11022,2019,York St,Columbus Dr at Exchange Pl
11023,2019,York St,Columbus Drive
11024,2019,York St,Communipaw & Berry Lane
11025,2019,York St,Dey St
11026,2019,York St,Dixon Mills
11027,2019,York St,Essex Light Rail
11028,2019,York St,Exchange Place
11029,2019,York St,Fairmount Ave
11030,2019,York St,Glenwood Ave
11031,2019,York St,Grand St
11032,2019,York St,Grove St PATH
11033,2019,York St,Hamilton Park
11034,2019,York St,Harborside
11035,2019,York St,Heights Elevator
11036,2019,York St,Hilltop
11037,2019,York St,Hoboken Ave at Monmouth St
11038,2019,York St,JC Medical Center
11039,2019,York St,Jackson Square
11040,2019,York St,Jersey & 3rd
11041,2019,York St,Jersey & 6th St
11042,2019,York St,Lafayette Park
11043,2019,York St,Leonard Gordon Park
11044,2019,York St,Liberty Light Rail
11045,2019,York St,Lincoln Park
11046,2019,York St,Manila & 1st
11047,2019,York St,Marin Light Rail
11048,2019,York St,McGinley Square
11049,2019,York St,Monmouth and 6th
11050,2019,York St,Montgomery St
11051,2019,York St,Morris Canal
11052,2019,York St,Newark Ave
11053,2019,York St,Newport PATH
11054,2019,York St,Newport Pkwy
11055,2019,York St,Paulus Hook
11056,2019,York St,Pershing Field
11057,2019,York St,Riverview Park
11058,2019,York St,Sip Ave
11059,2019,York St,Union St
11060,2019,York St,Van Vorst Park
11061,2019,York St,Warren St
11062,2019,York St,Washington St
11063,2019,York St,York St
