year,week,station,anzahl
2015,44,Lincoln Park,56
2015,44,MLK Light Rail,4
2015,44,McGinley Square,109
2015,44,NJCU,15
2015,44,Newark Ave,213
2015,44,Newport PATH,310
2015,44,Newport Pkwy,187
2015,44,North St,1
2015,44,Oakland Ave,84
2015,44,Paulus Hook,131
2015,44,Pershing Field,71
2015,44,Riverview Park,31
2015,44,Sip Ave,247
2015,44,Union St,7
2015,44,Van Vorst Park,176
2015,44,Warren St,173
2015,44,West Side Light Rail,9
2015,45,5 Corners Library,63
2015,45,Baldwin at Montgomery,93
2015,45,Bayside Park,8
2015,45,Brunswick St,236
2015,45,Central Ave,42
2015,45,Christ Hospital,75
2015,45,City Hall,162
2015,45,Columbia Park,11
2015,45,Dey St,29
2015,45,Essex Light Rail,263
2015,45,Exchange Place,401
2015,45,Garfield Ave Station,11
2015,45,Grove St PATH,574
2015,45,Hamilton Park,314
2015,45,Heights Elevator,31
2015,45,Hilltop,74
2015,45,JC Medical Center,101
2015,45,Liberty Light Rail,90
2015,45,Lincoln Park,78
2015,45,MLK Light Rail,6
2015,45,McGinley Square,117
2015,45,NJCU,12
2015,45,Newark Ave,197
2015,45,Newport PATH,320
2015,45,Newport Pkwy,191
2015,45,North St,11
2015,45,Oakland Ave,71
2015,45,Paulus Hook,185
2015,45,Pershing Field,84
2015,45,Riverview Park,18
2015,45,Sip Ave,278
2015,45,Union St,7
2015,45,Van Vorst Park,189
2015,45,Warren St,186
2015,45,West Side Light Rail,10
2015,46,5 Corners Library,43
2015,46,Baldwin at Montgomery,72
2015,46,Bayside Park,5
2015,46,Brunswick St,226
2015,46,Central Ave,40
2015,46,Christ Hospital,56
2015,46,City Hall,132
2015,46,Columbia Park,2
2015,46,Dey St,38
2015,46,Essex Light Rail,187
2015,46,Exchange Place,226
2015,46,Garfield Ave Station,10
2015,46,Grove St PATH,369
2015,46,Hamilton Park,291
2015,46,Heights Elevator,13
2015,46,Hilltop,53
2015,46,JC Medical Center,69
2015,46,Liberty Light Rail,52
2015,46,Lincoln Park,48
2015,46,MLK Light Rail,3
2015,46,McGinley Square,102
2015,46,NJCU,7
2015,46,Newark Ave,172
2015,46,Newport PATH,202
2015,46,Newport Pkwy,154
2015,46,North St,9
2015,46,Oakland Ave,72
2015,46,Paulus Hook,112
2015,46,Pershing Field,64
2015,46,Riverview Park,13
2015,46,Sip Ave,243
2015,46,Union St,3
2015,46,Van Vorst Park,147
2015,46,Warren St,132
2015,46,West Side Light Rail,7
2015,47,5 Corners Library,38
2015,47,Baldwin at Montgomery,65
2015,47,Bayside Park,7
2015,47,Brunswick St,222
2015,47,Central Ave,35
2015,47,Christ Hospital,48
2015,47,City Hall,129
2015,47,Columbia Park,6
2015,47,Dey St,41
2015,47,Essex Light Rail,223
2015,47,Exchange Place,292
2015,47,Garfield Ave Station,10
2015,47,Grove St PATH,414
2015,47,Hamilton Park,310
2015,47,Heights Elevator,33
2015,47,Hilltop,55
2015,47,JC Medical Center,77
2015,47,Liberty Light Rail,61
2015,47,Lincoln Park,54
2015,47,MLK Light Rail,1
2015,47,McGinley Square,104
2015,47,NJCU,2
2015,47,Newark Ave,198
2015,47,Newport PATH,238
2015,47,Newport Pkwy,143
2015,47,North St,11
2015,47,Oakland Ave,66
2015,47,Paulus Hook,116
2015,47,Pershing Field,76
2015,47,Riverview Park,19
2015,47,Sip Ave,224
2015,47,Union St,3
2015,47,Van Vorst Park,200
2015,47,Warren St,149
2015,47,West Side Light Rail,7
2015,48,5 Corners Library,35
2015,48,Baldwin at Montgomery,26
2015,48,Bayside Park,4
2015,48,Brunswick St,161
2015,48,Central Ave,30
2015,48,Christ Hospital,48
2015,48,City Hall,98
2015,48,Columbia Park,2
2015,48,Dey St,24
2015,48,Essex Light Rail,135
2015,48,Exchange Place,183
2015,48,Garfield Ave Station,4
2015,48,Grove St PATH,283
2015,48,Hamilton Park,195
2015,48,Heights Elevator,8
2015,48,Hilltop,38
2015,48,JC Medical Center,61
2015,48,Liberty Light Rail,49
2015,48,Lincoln Park,48
2015,48,McGinley Square,88
2015,48,NJCU,8
2015,48,Newark Ave,125
2015,48,Newport PATH,137
2015,48,Newport Pkwy,102
2015,48,North St,9
2015,48,Oakland Ave,41
2015,48,Paulus Hook,88
2015,48,Pershing Field,53
2015,48,Riverview Park,16
2015,48,Sip Ave,182
2015,48,Union St,3
2015,48,Van Vorst Park,138
2015,48,Warren St,119
2015,48,West Side Light Rail,3
2015,49,5 Corners Library,45
2015,49,Baldwin at Montgomery,37
2015,49,Bayside Park,4
2015,49,Brunswick St,184
2015,49,Central Ave,50
2015,49,Christ Hospital,63
2015,49,City Hall,107
2015,49,Columbia Park,2
2015,49,Dey St,26
2015,49,Essex Light Rail,152
2015,49,Exchange Place,198
2015,49,Garfield Ave Station,11
2015,49,Grove St PATH,313
2015,49,Hamilton Park,257
2015,49,Heights Elevator,13
2015,49,Hilltop,39
2015,49,JC Medical Center,51
2015,49,Liberty Light Rail,44
2015,49,Lincoln Park,55
2015,49,MLK Light Rail,4
2015,49,McGinley Square,106
2015,49,NJCU,10
2015,49,Newark Ave,142
2015,49,Newport PATH,154
2015,49,Newport Pkwy,118
2015,49,North St,12
2015,49,Oakland Ave,53
2015,49,Paulus Hook,88
2015,49,Pershing Field,68
2015,49,Riverview Park,21
2015,49,Sip Ave,176
2015,49,Union St,3
2015,49,Van Vorst Park,135
2015,49,Warren St,92
2015,49,West Side Light Rail,6
2015,50,5 Corners Library,32
2015,50,Baldwin at Montgomery,67
2015,50,Bayside Park,3
2015,50,Brunswick St,202
2015,50,Central Ave,54
2015,50,Christ Hospital,66
2015,50,City Hall,140
2015,50,Dey St,19
2015,50,Essex Light Rail,189
2015,50,Exchange Place,218
2015,50,Garfield Ave Station,20
2015,50,Grove St PATH,316
2015,50,Hamilton Park,259
2015,50,Heights Elevator,19
2015,50,Hilltop,62
2015,50,JC Medical Center,94
2015,50,Liberty Light Rail,65
2015,50,Lincoln Park,52
2015,50,MLK Light Rail,7
2015,50,McGinley Square,97
2015,50,NJCU,16
2015,50,Newark Ave,168
2015,50,Newport PATH,219
2015,50,Newport Pkwy,139
2015,50,North St,19
2015,50,Oakland Ave,67
2015,50,Paulus Hook,112
2015,50,Pershing Field,79
2015,50,Riverview Park,29
2015,50,Sip Ave,247
2015,50,Union St,1
2015,50,Van Vorst Park,153
2015,50,Warren St,128
2015,50,West Side Light Rail,3
2015,51,5 Corners Library,35
2015,51,Baldwin at Montgomery,51
2015,51,Bayside Park,1
2015,51,Brunswick St,173
2015,51,Central Ave,40
2015,51,Christ Hospital,52
2015,51,City Hall,108
2015,51,Columbia Park,3
2015,51,Dey St,23
2015,51,Essex Light Rail,148
2015,51,Exchange Place,191
2015,51,Garfield Ave Station,14
2015,51,Grove St PATH,339
2015,51,Hamilton Park,251
2015,51,Heights Elevator,18
2015,51,Hilltop,35
2015,51,JC Medical Center,69
2015,51,Liberty Light Rail,46
2015,51,Lincoln Park,43
2015,51,MLK Light Rail,4
2015,51,McGinley Square,95
2015,51,NJCU,15
2015,51,Newark Ave,129
2015,51,Newport PATH,179
2015,51,Newport Pkwy,106
2015,51,North St,6
2015,51,Oakland Ave,56
2015,51,Paulus Hook,95
2015,51,Pershing Field,63
2015,51,Riverview Park,19
2015,51,Sip Ave,204
2015,51,Union St,3
2015,51,Van Vorst Park,160
2015,51,Warren St,117
2015,51,West Side Light Rail,3
2015,52,5 Corners Library,28
2015,52,Baldwin at Montgomery,29
2015,52,Bayside Park,5
2015,52,Brunswick St,113
2015,52,Central Ave,29
2015,52,Christ Hospital,30
2015,52,City Hall,61
2015,52,Columbia Park,1
2015,52,Dey St,15
2015,52,Essex Light Rail,95
2015,52,Exchange Place,173
2015,52,Garfield Ave Station,11
2015,52,Grove St PATH,214
2015,52,Hamilton Park,143
2015,52,Heights Elevator,19
2015,52,Hilltop,23
2015,52,JC Medical Center,63
2015,52,Liberty Light Rail,39
2015,52,Lincoln Park,36
2015,52,MLK Light Rail,1
2015,52,McGinley Square,57
2015,52,NJCU,6
2015,52,Newark Ave,86
2015,52,Newport PATH,131
2015,52,Newport Pkwy,84
2015,52,North St,7
2015,52,Oakland Ave,38
2015,52,Paulus Hook,76
2015,52,Pershing Field,48
2015,52,Riverview Park,22
2015,52,Sip Ave,145
2015,52,Union St,1
2015,52,Van Vorst Park,103
2015,52,Warren St,84
2015,53,5 Corners Library,16
2015,53,Baldwin at Montgomery,11
2015,53,Brunswick St,65
2015,53,Central Ave,10
2015,53,Christ Hospital,20
2015,53,City Hall,33
2015,53,Dey St,6
2015,53,Essex Light Rail,50
2015,53,Exchange Place,100
2015,53,Garfield Ave Station,7
2015,53,Grove St PATH,150
2015,53,Hamilton Park,109
2015,53,Heights Elevator,4
2015,53,Hilltop,13
2015,53,JC Medical Center,25
2015,53,Liberty Light Rail,21
2015,53,Lincoln Park,18
2015,53,McGinley Square,37
2015,53,Newark Ave,53
2015,53,Newport PATH,89
2015,53,Newport Pkwy,55
2015,53,North St,7
2015,53,Oakland Ave,25
2015,53,Paulus Hook,39
2015,53,Pershing Field,33
2015,53,Riverview Park,13
2015,53,Sip Ave,97
2015,53,Van Vorst Park,62
2015,53,Warren St,48
2015,53,West Side Light Rail,2
2016,1,5 Corners Library,36
2016,1,Baldwin at Montgomery,31
2016,1,Bayside Park,4
2016,1,Brunswick St,140
2016,1,Central Ave,15
2016,1,Christ Hospital,35
2016,1,City Hall,71
2016,1,Dey St,17
2016,1,Essex Light Rail,133
2016,1,Exchange Place,165
2016,1,Garfield Ave Station,9
2016,1,Grove St PATH,251
2016,1,Hamilton Park,193
2016,1,Heights Elevator,9
2016,1,Hilltop,28
2016,1,JC Medical Center,30
2016,1,Liberty Light Rail,38
2016,1,Lincoln Park,35
2016,1,MLK Light Rail,1
2016,1,McGinley Square,80
2016,1,NJCU,2
2016,1,Newark Ave,121
2016,1,Newport PATH,144
2016,1,Newport Pkwy,94
2016,1,North St,15
2016,1,Oakland Ave,42
2016,1,Paulus Hook,59
2016,1,Pershing Field,55
2016,1,Riverview Park,21
2016,1,Sip Ave,185
2016,1,Union St,3
2016,1,Van Vorst Park,137
2016,1,Warren St,77
2016,2,5 Corners Library,31
