year,week,station,anzahl
2017,13,McGinley Square,54
2017,13,Monmouth and 6th,63
2017,13,Morris Canal,139
2017,13,NJCU,12
2017,13,Newark Ave,80
2017,13,Newport PATH,140
2017,13,Newport Pkwy,79
2017,13,North St,13
2017,13,Oakland Ave,66
2017,13,Paulus Hook,86
2017,13,Pershing Field,37
2017,13,Riverview Park,10
2017,13,Sip Ave,205
2017,13,Union St,1
2017,13,Van Vorst Park,103
2017,13,Warren St,117
2017,13,West Side Light Rail,6
2017,14,5 Corners Library,30
2017,14,Astor Place,24
2017,14,Baldwin at Montgomery,56
2017,14,Bayside Park,3
2017,14,Bethune Center,5
2017,14,Brunswick & 6th,86
2017,14,Brunswick St,113
2017,14,Central Ave,15
2017,14,Christ Hospital,23
2017,14,City Hall,121
2017,14,Columbia Park,3
2017,14,Columbus Drive,102
2017,14,Communipaw & Berry Lane,10
2017,14,Danforth Light Rail,2
2017,14,Dey St,21
2017,14,Dixon Mills,77
2017,14,Essex Light Rail,127
2017,14,Exchange Place,290
2017,14,Garfield Ave Station,17
2017,14,Grove St PATH,458
2017,14,Hamilton Park,264
2017,14,Heights Elevator,24
2017,14,Hilltop,19
2017,14,JC Medical Center,83
2017,14,Jersey & 3rd,94
2017,14,Jersey & 6th St,81
2017,14,Lafayette Park,29
2017,14,Leonard Gordon Park,15
2017,14,Liberty Light Rail,104
2017,14,Lincoln Park,42
2017,14,MLK Light Rail,7
2017,14,Manila & 1st,80
2017,14,Marin Light Rail,106
2017,14,McGinley Square,82
2017,14,Monmouth and 6th,95
2017,14,Morris Canal,171
2017,14,NJCU,6
2017,14,Newark Ave,149
2017,14,Newport PATH,184
2017,14,Newport Pkwy,118
2017,14,North St,21
2017,14,Oakland Ave,71
2017,14,Paulus Hook,116
2017,14,Pershing Field,37
2017,14,Riverview Park,17
2017,14,Sip Ave,223
2017,14,Union St,4
2017,14,Van Vorst Park,121
2017,14,Warren St,151
2017,14,West Side Light Rail,2
2017,15,5 Corners Library,51
2017,15,Astor Place,34
2017,15,Baldwin at Montgomery,72
2017,15,Bayside Park,2
2017,15,Brunswick & 6th,81
2017,15,Brunswick St,143
2017,15,Central Ave,29
2017,15,Christ Hospital,41
2017,15,City Hall,210
2017,15,Columbia Park,8
2017,15,Columbus Drive,134
2017,15,Communipaw & Berry Lane,23
2017,15,Danforth Light Rail,12
2017,15,Dey St,27
2017,15,Dixon Mills,70
2017,15,Essex Light Rail,146
2017,15,Exchange Place,384
2017,15,Garfield Ave Station,58
2017,15,Grove St PATH,603
2017,15,Hamilton Park,337
2017,15,Heights Elevator,41
2017,15,Hilltop,50
2017,15,JC Medical Center,127
2017,15,Jersey & 3rd,114
2017,15,Jersey & 6th St,120
2017,15,Lafayette Park,52
2017,15,Leonard Gordon Park,27
2017,15,Liberty Light Rail,199
2017,15,Lincoln Park,56
2017,15,MLK Light Rail,3
2017,15,Manila & 1st,100
2017,15,Marin Light Rail,171
2017,15,McGinley Square,97
2017,15,Monmouth and 6th,104
2017,15,Morris Canal,240
2017,15,NJCU,14
2017,15,Newark Ave,174
2017,15,Newport PATH,266
2017,15,Newport Pkwy,235
2017,15,North St,31
2017,15,Oakland Ave,86
2017,15,Paulus Hook,169
2017,15,Pershing Field,35
2017,15,Riverview Park,35
2017,15,Sip Ave,296
2017,15,Union St,11
2017,15,Van Vorst Park,174
2017,15,Warren St,168
2017,15,West Side Light Rail,6
2017,16,5 Corners Library,52
2017,16,Astor Place,26
2017,16,Baldwin at Montgomery,71
2017,16,Bayside Park,4
2017,16,Bethune Center,2
2017,16,Brunswick & 6th,100
2017,16,Brunswick St,124
2017,16,Central Ave,40
2017,16,Christ Hospital,44
2017,16,City Hall,149
2017,16,Columbia Park,4
2017,16,Columbus Drive,116
2017,16,Communipaw & Berry Lane,11
2017,16,Danforth Light Rail,2
2017,16,Dey St,21
2017,16,Dixon Mills,86
2017,16,Essex Light Rail,129
2017,16,Exchange Place,349
2017,16,Garfield Ave Station,30
2017,16,Grove St PATH,572
2017,16,Hamilton Park,294
2017,16,Heights Elevator,27
2017,16,Hilltop,49
2017,16,JC Medical Center,129
2017,16,Jersey & 3rd,85
2017,16,Jersey & 6th St,105
2017,16,Lafayette Park,28
2017,16,Leonard Gordon Park,25
2017,16,Liberty Light Rail,92
2017,16,Lincoln Park,51
2017,16,MLK Light Rail,4
2017,16,Manila & 1st,87
2017,16,Marin Light Rail,149
2017,16,McGinley Square,104
2017,16,Monmouth and 6th,127
2017,16,Morris Canal,206
2017,16,NJCU,11
2017,16,Newark Ave,157
2017,16,Newport PATH,224
2017,16,Newport Pkwy,156
2017,16,North St,41
2017,16,Oakland Ave,110
2017,16,Paulus Hook,138
2017,16,Pershing Field,58
2017,16,Riverview Park,23
2017,16,Sip Ave,341
2017,16,Union St,12
2017,16,Van Vorst Park,157
2017,16,Warren St,174
2017,16,West Side Light Rail,7
2017,17,5 Corners Library,37
2017,17,Astor Place,24
2017,17,Baldwin at Montgomery,61
2017,17,Bayside Park,4
2017,17,Brunswick & 6th,97
2017,17,Brunswick St,158
2017,17,Central Ave,32
2017,17,Christ Hospital,46
2017,17,City Hall,158
2017,17,Columbia Park,4
2017,17,Columbus Drive,136
2017,17,Communipaw & Berry Lane,9
2017,17,Danforth Light Rail,2
2017,17,Dey St,35
2017,17,Dixon Mills,79
2017,17,Essex Light Rail,155
2017,17,Exchange Place,379
2017,17,Garfield Ave Station,26
2017,17,Grove St PATH,558
2017,17,Hamilton Park,317
2017,17,Heights Elevator,33
2017,17,Hilltop,35
2017,17,JC Medical Center,110
2017,17,Jersey & 3rd,121
2017,17,Jersey & 6th St,145
2017,17,Lafayette Park,48
2017,17,Leonard Gordon Park,26
2017,17,Liberty Light Rail,171
2017,17,Lincoln Park,51
2017,17,MLK Light Rail,9
2017,17,Manila & 1st,93
2017,17,Marin Light Rail,143
2017,17,McGinley Square,109
2017,17,Monmouth and 6th,91
2017,17,Morris Canal,215
2017,17,NJCU,14
2017,17,Newark Ave,172
2017,17,Newport PATH,250
2017,17,Newport Pkwy,182
2017,17,North St,22
2017,17,Oakland Ave,95
2017,17,Paulus Hook,147
2017,17,Pershing Field,56
2017,17,Riverview Park,23
2017,17,Sip Ave,319
2017,17,Union St,13
2017,17,Van Vorst Park,172
2017,17,Warren St,156
2017,17,West Side Light Rail,7
2017,18,5 Corners Library,51
2017,18,Astor Place,24
2017,18,Baldwin at Montgomery,68
2017,18,Bayside Park,2
2017,18,Bethune Center,6
2017,18,Brunswick & 6th,107
2017,18,Brunswick St,135
2017,18,Central Ave,32
2017,18,Christ Hospital,44
2017,18,City Hall,201
2017,18,Columbia Park,6
2017,18,Columbus Drive,135
2017,18,Communipaw & Berry Lane,13
2017,18,Danforth Light Rail,8
2017,18,Dey St,29
2017,18,Dixon Mills,103
2017,18,Essex Light Rail,168
2017,18,Exchange Place,348
2017,18,Garfield Ave Station,26
2017,18,Grove St PATH,648
2017,18,Hamilton Park,330
2017,18,Heights Elevator,31
2017,18,Hilltop,41
2017,18,JC Medical Center,116
2017,18,Jersey & 3rd,160
2017,18,Jersey & 6th St,154
2017,18,Lafayette Park,44
2017,18,Leonard Gordon Park,25
2017,18,Liberty Light Rail,139
2017,18,Lincoln Park,60
2017,18,MLK Light Rail,11
2017,18,Manila & 1st,95
2017,18,Marin Light Rail,176
2017,18,McGinley Square,123
2017,18,Monmouth and 6th,114
2017,18,Morris Canal,268
2017,18,NJCU,10
2017,18,Newark Ave,187
2017,18,Newport PATH,244
2017,18,Newport Pkwy,188
2017,18,North St,30
2017,18,Oakland Ave,88
2017,18,Paulus Hook,147
2017,18,Pershing Field,50
2017,18,Riverview Park,27
2017,18,Sip Ave,317
2017,18,Union St,15
2017,18,Van Vorst Park,177
2017,18,Warren St,184
2017,18,West Side Light Rail,8
2017,19,5 Corners Library,38
2017,19,Astor Place,35
2017,19,Baldwin at Montgomery,72
2017,19,Bayside Park,3
2017,19,Bethune Center,1
2017,19,Brunswick & 6th,124
2017,19,Brunswick St,151
2017,19,Central Ave,36
2017,19,Christ Hospital,50
2017,19,City Hall,175
2017,19,Columbia Park,3
2017,19,Columbus Drive,150
2017,19,Communipaw & Berry Lane,17
2017,19,Danforth Light Rail,6
2017,19,Dey St,28
2017,19,Dixon Mills,98
2017,19,Essex Light Rail,172
2017,19,Exchange Place,356
2017,19,Garfield Ave Station,22
2017,19,Grove St PATH,747
2017,19,Hamilton Park,295
2017,19,Heights Elevator,30
2017,19,Hilltop,48
2017,19,JC Medical Center,100
2017,19,Jersey & 3rd,126
2017,19,Jersey & 6th St,139
2017,19,Lafayette Park,46
2017,19,Leonard Gordon Park,29
2017,19,Liberty Light Rail,140
2017,19,Lincoln Park,54
2017,19,MLK Light Rail,6
2017,19,Manila & 1st,95
2017,19,Marin Light Rail,154
2017,19,McGinley Square,120
2017,19,Monmouth and 6th,108
2017,19,Morris Canal,235
2017,19,NJCU,11
2017,19,Newark Ave,182
2017,19,Newport PATH,214
2017,19,Newport Pkwy,166
2017,19,North St,25
2017,19,Oakland Ave,106
2017,19,Paulus Hook,132
2017,19,Pershing Field,45
2017,19,Riverview Park,20
2017,19,Sip Ave,317
2017,19,Union St,12
2017,19,Van Vorst Park,172
2017,19,Warren St,176
2017,19,West Side Light Rail,5
2017,20,5 Corners Library,52
2017,20,Astor Place,37
2017,20,Baldwin at Montgomery,99
2017,20,Bayside Park,12
2017,20,Bethune Center,1
2017,20,Brunswick & 6th,159
2017,20,Brunswick St,187
2017,20,Central Ave,37
2017,20,Christ Hospital,38
2017,20,City Hall,207
2017,20,Columbia Park,6
2017,20,Columbus Drive,137
2017,20,Communipaw & Berry Lane,23
2017,20,Danforth Light Rail,10
2017,20,Dey St,34
2017,20,Dixon Mills,145
2017,20,Essex Light Rail,186
2017,20,Exchange Place,436
2017,20,Garfield Ave Station,18
2017,20,Grove St PATH,844
2017,20,Hamilton Park,346
2017,20,Heights Elevator,55
2017,20,Hilltop,76
2017,20,JC Medical Center,136
2017,20,Jersey & 3rd,173
2017,20,Jersey & 6th St,163
2017,20,Lafayette Park,53
2017,20,Leonard Gordon Park,25
2017,20,Liberty Light Rail,228
2017,20,Lincoln Park,64
2017,20,MLK Light Rail,5
2017,20,Manila & 1st,116
2017,20,Marin Light Rail,228
2017,20,McGinley Square,124
2017,20,Monmouth and 6th,122
2017,20,Morris Canal,291
2017,20,NJCU,10
2017,20,Newark Ave,215
2017,20,Newport PATH,308
2017,20,Newport Pkwy,248
2017,20,North St,36
2017,20,Oakland Ave,95
2017,20,Paulus Hook,208
2017,20,Pershing Field,60
2017,20,Riverview Park,28
2017,20,Sip Ave,322
2017,20,Union St,13
2017,20,Van Vorst Park,211
2017,20,Warren St,224
2017,20,West Side Light Rail,5
2017,21,5 Corners Library,53
2017,21,Astor Place,30
2017,21,Baldwin at Montgomery,74
2017,21,Bayside Park,6
2017,21,Brunswick & 6th,112
2017,21,Brunswick St,120
2017,21,Central Ave,33
2017,21,Christ Hospital,35
2017,21,City Hall,157
2017,21,Columbia Park,4
2017,21,Columbus Drive,157
2017,21,Communipaw & Berry Lane,14
2017,21,Danforth Light Rail,4
2017,21,Dey St,27
2017,21,Dixon Mills,87
2017,21,Essex Light Rail,155
2017,21,Exchange Place,355
2017,21,Garfield Ave Station,17
2017,21,Grove St PATH,650
2017,21,Hamilton Park,249
2017,21,Heights Elevator,42
2017,21,Hilltop,78
2017,21,JC Medical Center,107
2017,21,Jersey & 3rd,111
2017,21,Jersey & 6th St,130
2017,21,Lafayette Park,46
2017,21,Leonard Gordon Park,22
2017,21,Liberty Light Rail,159
2017,21,Lincoln Park,50
2017,21,MLK Light Rail,7
2017,21,Manila & 1st,87
2017,21,Marin Light Rail,180
2017,21,McGinley Square,129
2017,21,Monmouth and 6th,95
2017,21,Morris Canal,216
2017,21,NJCU,11
2017,21,Newark Ave,166
2017,21,Newport PATH,256
2017,21,Newport Pkwy,171
2017,21,North St,24
2017,21,Oakland Ave,91
2017,21,Paulus Hook,175
2017,21,Pershing Field,52
2017,21,Riverview Park,22
2017,21,Sip Ave,273
2017,21,Union St,7
2017,21,Van Vorst Park,165
2017,21,Warren St,197
2017,21,West Side Light Rail,6
2017,22,5 Corners Library,72
2017,22,Astor Place,35
2017,22,Baldwin at Montgomery,107
2017,22,Bayside Park,1
2017,22,Brunswick & 6th,138
2017,22,Brunswick St,170
2017,22,Central Ave,29
2017,22,Christ Hospital,71
2017,22,City Hall,195
2017,22,Columbia Park,7
2017,22,Columbus Drive,190
2017,22,Communipaw & Berry Lane,17
2017,22,Danforth Light Rail,5
2017,22,Dey St,31
2017,22,Dixon Mills,132
2017,22,Essex Light Rail,200
2017,22,Exchange Place,375
2017,22,Garfield Ave Station,27
2017,22,Grove St PATH,792
2017,22,Hamilton Park,359
2017,22,Heights Elevator,39
2017,22,Hilltop,59
2017,22,JC Medical Center,157
2017,22,Jersey & 3rd,140
2017,22,Jersey & 6th St,145
2017,22,Lafayette Park,57
2017,22,Leonard Gordon Park,40
2017,22,Liberty Light Rail,173
2017,22,Lincoln Park,44
2017,22,MLK Light Rail,3
2017,22,Manila & 1st,103
2017,22,Marin Light Rail,198
2017,22,McGinley Square,122
2017,22,Monmouth and 6th,112
2017,22,Morris Canal,282
2017,22,NJCU,5
2017,22,Newark Ave,184
2017,22,Newport PATH,245
2017,22,Newport Pkwy,198
2017,22,North St,35
2017,22,Oakland Ave,101
2017,22,Paulus Hook,186
2017,22,Pershing Field,69
2017,22,Riverview Park,38
2017,22,Sip Ave,317
2017,22,Union St,6
2017,22,Van Vorst Park,207
2017,22,Warren St,210
2017,22,West Side Light Rail,11
2017,23,5 Corners Library,56
2017,23,Astor Place,41
2017,23,Baldwin at Montgomery,99
2017,23,Bayside Park,14
2017,23,Brunswick & 6th,135
2017,23,Brunswick St,173
2017,23,Central Ave,33
2017,23,Christ Hospital,53
2017,23,City Hall,226
2017,23,Columbia Park,3
2017,23,Columbus Drive,180
2017,23,Communipaw & Berry Lane,16
2017,23,Danforth Light Rail,10
2017,23,Dey St,28
2017,23,Dixon Mills,79
2017,23,Essex Light Rail,191
2017,23,Exchange Place,520
2017,23,Garfield Ave Station,27
2017,23,Grove St PATH,886
2017,23,Hamilton Park,483
2017,23,Heights Elevator,40
2017,23,Hilltop,63
2017,23,JC Medical Center,158
2017,23,Jersey & 3rd,166
2017,23,Jersey & 6th St,176
2017,23,Lafayette Park,73
2017,23,Leonard Gordon Park,36
2017,23,Liberty Light Rail,203
2017,23,Lincoln Park,58
2017,23,MLK Light Rail,5
2017,23,Manila & 1st,126
2017,23,Marin Light Rail,186
2017,23,McGinley Square,136
2017,23,Monmouth and 6th,119
2017,23,Morris Canal,313
2017,23,NJCU,2
2017,23,Newark Ave,216
2017,23,Newport PATH,305
2017,23,Newport Pkwy,248
2017,23,North St,46
2017,23,Oakland Ave,119
2017,23,Paulus Hook,223
2017,23,Pershing Field,55
2017,23,Riverview Park,52
2017,23,Sip Ave,346
2017,23,Union St,10
2017,23,Van Vorst Park,223
2017,23,Warren St,253
2017,23,West Side Light Rail,9
2017,24,5 Corners Library,44
2017,24,Astor Place,41
2017,24,Baldwin at Montgomery,84
2017,24,Bayside Park,4
2017,24,Brunswick & 6th,145
2017,24,Brunswick St,180
2017,24,Central Ave,28
2017,24,Christ Hospital,41
2017,24,City Hall,221
2017,24,Columbia Park,3
2017,24,Columbus Drive,214
2017,24,Communipaw & Berry Lane,22
2017,24,Danforth Light Rail,8
2017,24,Dey St,44
2017,24,Dixon Mills,128
2017,24,Essex Light Rail,244
2017,24,Exchange Place,469
2017,24,Garfield Ave Station,30
2017,24,Grove St PATH,844
2017,24,Hamilton Park,479
2017,24,Heights Elevator,32
2017,24,Hilltop,69
2017,24,JC Medical Center,114
2017,24,Jersey & 3rd,181
2017,24,Jersey & 6th St,156
2017,24,Lafayette Park,81
2017,24,Leonard Gordon Park,41
2017,24,Liberty Light Rail,182
2017,24,Lincoln Park,48
2017,24,MLK Light Rail,7
2017,24,Manila & 1st,99
2017,24,Marin Light Rail,195
2017,24,McGinley Square,148
2017,24,Monmouth and 6th,139
2017,24,Morris Canal,268
2017,24,NJCU,2
2017,24,Newark Ave,230
2017,24,Newport PATH,303
2017,24,Newport Pkwy,247
2017,24,North St,38
2017,24,Oakland Ave,97
2017,24,Paulus Hook,213
2017,24,Pershing Field,53
2017,24,Riverview Park,34
2017,24,Sip Ave,343
2017,24,Union St,10
2017,24,Van Vorst Park,205
2017,24,Warren St,249
2017,24,West Side Light Rail,10
2017,25,5 Corners Library,55
2017,25,Astor Place,48
2017,25,Baldwin at Montgomery,89
2017,25,Bayside Park,6
2017,25,Bethune Center,2
2017,25,Brunswick & 6th,154
2017,25,Brunswick St,198
2017,25,Central Ave,34
2017,25,Christ Hospital,62
2017,25,City Hall,229
2017,25,Columbia Park,9
2017,25,Columbus Drive,204
2017,25,Communipaw & Berry Lane,30
2017,25,Danforth Light Rail,3
2017,25,Dey St,49
2017,25,Dixon Mills,138
2017,25,Essex Light Rail,238
2017,25,Exchange Place,545
2017,25,Garfield Ave Station,28
2017,25,Grove St PATH,874
2017,25,Hamilton Park,491
2017,25,Heights Elevator,44
2017,25,Hilltop,81
2017,25,JC Medical Center,146
2017,25,Jersey & 3rd,151
2017,25,Jersey & 6th St,167
2017,25,Lafayette Park,71
2017,25,Leonard Gordon Park,25
2017,25,Liberty Light Rail,194
2017,25,Lincoln Park,67
2017,25,MLK Light Rail,6
2017,25,Manila & 1st,124
2017,25,Marin Light Rail,200
2017,25,McGinley Square,151
2017,25,Monmouth and 6th,141
2017,25,Morris Canal,325
2017,25,NJCU,5
2017,25,Newark Ave,231
2017,25,Newport PATH,295
2017,25,Newport Pkwy,215
2017,25,North St,53
2017,25,Oakland Ave,114
2017,25,Paulus Hook,207
2017,25,Pershing Field,72
2017,25,Riverview Park,40
2017,25,Sip Ave,375
2017,25,Union St,16
2017,25,Van Vorst Park,234
2017,25,Warren St,252
2017,25,West Side Light Rail,8
2017,26,5 Corners Library,61
2017,26,Astor Place,56
2017,26,Baldwin at Montgomery,116
2017,26,Bayside Park,7
2017,26,Brunswick & 6th,154
2017,26,Brunswick St,193
2017,26,Central Ave,40
2017,26,Christ Hospital,63
2017,26,City Hall,198
2017,26,Columbia Park,13
2017,26,Columbus Drive,246
2017,26,Communipaw & Berry Lane,16
2017,26,Danforth Light Rail,13
2017,26,Dey St,36
2017,26,Dixon Mills,115
2017,26,Essex Light Rail,229
2017,26,Exchange Place,547
2017,26,Garfield Ave Station,32
2017,26,Grove St PATH,852
2017,26,Hamilton Park,495
2017,26,Heights Elevator,52
2017,26,Hilltop,72
2017,26,JC Medical Center,124
2017,26,JCBS Depot,1
2017,26,Jersey & 3rd,156
2017,26,Jersey & 6th St,155
2017,26,Lafayette Park,76
2017,26,Leonard Gordon Park,40
2017,26,Liberty Light Rail,150
2017,26,Lincoln Park,81
2017,26,MLK Light Rail,1
2017,26,Manila & 1st,126
2017,26,Marin Light Rail,219
2017,26,McGinley Square,166
2017,26,Monmouth and 6th,117
2017,26,Morris Canal,338
2017,26,NJCU,8
2017,26,Newark Ave,242
2017,26,Newport PATH,344
2017,26,Newport Pkwy,261
2017,26,North St,45
2017,26,Oakland Ave,140
2017,26,Paulus Hook,228
2017,26,Pershing Field,74
2017,26,Riverview Park,55
2017,26,Sip Ave,404
2017,26,Union St,18
2017,26,Van Vorst Park,226
2017,26,Warren St,248
2017,26,West Side Light Rail,7
2017,27,5 Corners Library,53
2017,27,Astor Place,43
2017,27,Baldwin at Montgomery,100
2017,27,Bayside Park,3
2017,27,Bethune Center,2
2017,27,Brunswick & 6th,126
2017,27,Brunswick St,174
2017,27,Central Ave,32
2017,27,Christ Hospital,60
2017,27,City Hall,191
2017,27,Columbia Park,13
2017,27,Columbus Drive,239
2017,27,Communipaw & Berry Lane,16
2017,27,Danforth Light Rail,13
2017,27,Dey St,35
2017,27,Dixon Mills,133
2017,27,Essex Light Rail,190
2017,27,Exchange Place,364
2017,27,Garfield Ave Station,34
2017,27,Grove St PATH,813
2017,27,Hamilton Park,476
2017,27,Heights Elevator,47
2017,27,Hilltop,96
2017,27,JC Medical Center,180
2017,27,Jersey & 3rd,161
2017,27,Jersey & 6th St,138
2017,27,Lafayette Park,71
2017,27,Leonard Gordon Park,36
2017,27,Liberty Light Rail,219
2017,27,Lincoln Park,53
2017,27,MLK Light Rail,9
2017,27,Manila & 1st,128
2017,27,Marin Light Rail,218
2017,27,McGinley Square,135
2017,27,Monmouth and 6th,95
2017,27,Morris Canal,311
2017,27,NJCU,6
2017,27,Newark Ave,222
2017,27,Newport PATH,312
2017,27,Newport Pkwy,301
2017,27,North St,47
2017,27,Oakland Ave,101
2017,27,Paulus Hook,229
2017,27,Pershing Field,67
2017,27,Riverview Park,38
2017,27,Sip Ave,342
2017,27,Union St,15
2017,27,Van Vorst Park,231
2017,27,Warren St,315
2017,27,West Side Light Rail,16
2017,28,5 Corners Library,58
2017,28,Astor Place,54
2017,28,Baldwin at Montgomery,109
2017,28,Bayside Park,10
2017,28,Brunswick & 6th,175
2017,28,Brunswick St,176
2017,28,Central Ave,31
2017,28,Christ Hospital,70
2017,28,City Hall,204
2017,28,Columbia Park,6
2017,28,Columbus Drive,221
2017,28,Communipaw & Berry Lane,25
2017,28,Danforth Light Rail,7
2017,28,Dey St,30
2017,28,Dixon Mills,135
2017,28,Essex Light Rail,233
2017,28,Exchange Place,533
2017,28,Garfield Ave Station,28
2017,28,Grove St PATH,831
2017,28,Hamilton Park,521
2017,28,Heights Elevator,47
2017,28,Hilltop,75
2017,28,JC Medical Center,159
2017,28,Jersey & 3rd,183
2017,28,Jersey & 6th St,158
2017,28,Lafayette Park,70
2017,28,Leonard Gordon Park,47
2017,28,Liberty Light Rail,188
2017,28,Lincoln Park,68
2017,28,Manila & 1st,153
2017,28,Marin Light Rail,224
2017,28,McGinley Square,171
2017,28,Monmouth and 6th,122
2017,28,Morris Canal,292
2017,28,NJCU,4
2017,28,Newark Ave,279
2017,28,Newport PATH,317
2017,28,Newport Pkwy,224
2017,28,North St,45
2017,28,Oakland Ave,104
2017,28,Paulus Hook,175
2017,28,Pershing Field,49
2017,28,Riverview Park,46
2017,28,Sip Ave,434
2017,28,Union St,18
2017,28,Van Vorst Park,215
2017,28,Warren St,253
2017,28,West Side Light Rail,3
2017,29,5 Corners Library,59
2017,29,Astor Place,59
2017,29,Baldwin at Montgomery,112
2017,29,Bayside Park,6
2017,29,Brunswick & 6th,175
2017,29,Brunswick St,190
2017,29,Central Ave,48
2017,29,Christ Hospital,77
2017,29,City Hall,235
2017,29,Columbia Park,5
2017,29,Columbus Drive,209
2017,29,Communipaw & Berry Lane,26
2017,29,Danforth Light Rail,7
2017,29,Dey St,37
2017,29,Dixon Mills,116
2017,29,Essex Light Rail,215
2017,29,Exchange Place,568
2017,29,Garfield Ave Station,30
2017,29,Grove St PATH,883
2017,29,Hamilton Park,526
2017,29,Heights Elevator,56
2017,29,Hilltop,62
2017,29,JC Medical Center,134
2017,29,Jersey & 3rd,188
2017,29,Jersey & 6th St,197
2017,29,Lafayette Park,76
2017,29,Leonard Gordon Park,37
2017,29,Liberty Light Rail,192
2017,29,Lincoln Park,49
2017,29,MLK Light Rail,8
2017,29,Manila & 1st,158
2017,29,Marin Light Rail,217
2017,29,McGinley Square,170
2017,29,Monmouth and 6th,140
2017,29,Morris Canal,317
2017,29,NJCU,6
2017,29,Newark Ave,269
2017,29,Newport PATH,321
2017,29,Newport Pkwy,244
2017,29,North St,53
2017,29,Oakland Ave,124
2017,29,Paulus Hook,223
2017,29,Pershing Field,67
2017,29,Riverview Park,61
2017,29,Sip Ave,431
2017,29,Union St,19
2017,29,Van Vorst Park,234
2017,29,Warren St,332
2017,29,West Side Light Rail,6
2017,30,5 Corners Library,66
2017,30,Astor Place,46
2017,30,Baldwin at Montgomery,124
2017,30,Bayside Park,9
2017,30,Brunswick & 6th,165
2017,30,Brunswick St,204
2017,30,Central Ave,43
2017,30,Christ Hospital,74
2017,30,City Hall,223
2017,30,Columbia Park,7
2017,30,Columbus Drive,192
2017,30,Communipaw & Berry Lane,31
2017,30,Danforth Light Rail,10
2017,30,Dey St,25
2017,30,Dixon Mills,141
2017,30,Essex Light Rail,222
2017,30,Exchange Place,621
2017,30,Garfield Ave Station,31
2017,30,Grove St PATH,903
2017,30,Hamilton Park,531
2017,30,Heights Elevator,54
2017,30,Hilltop,62
2017,30,JC Medical Center,179
2017,30,Jersey & 3rd,183
2017,30,Jersey & 6th St,162
2017,30,Lafayette Park,78
2017,30,Leonard Gordon Park,48
2017,30,Liberty Light Rail,197
2017,30,Lincoln Park,80
2017,30,MLK Light Rail,5
2017,30,Manila & 1st,132
2017,30,Marin Light Rail,247
2017,30,McGinley Square,167
2017,30,Monmouth and 6th,147
2017,30,Morris Canal,309
2017,30,NJCU,4
2017,30,Newark Ave,247
2017,30,Newport PATH,329
2017,30,Newport Pkwy,224
2017,30,North St,44
2017,30,Oakland Ave,114
2017,30,Paulus Hook,208
2017,30,Pershing Field,69
2017,30,Riverview Park,45
2017,30,Sip Ave,423
2017,30,Union St,27
2017,30,Van Vorst Park,279
2017,30,Warren St,301
2017,30,West Side Light Rail,8
2017,31,5 Corners Library,65
2017,31,Astor Place,60
2017,31,Baldwin at Montgomery,100
2017,31,Bayside Park,17
2017,31,Bethune Center,3
2017,31,Brunswick & 6th,150
2017,31,Brunswick St,211
2017,31,Central Ave,9
2017,31,Christ Hospital,70
2017,31,City Hall,232
2017,31,Columbia Park,4
2017,31,Columbus Drive,209
2017,31,Communipaw & Berry Lane,29
2017,31,Danforth Light Rail,9
2017,31,Dey St,43
2017,31,Dixon Mills,156
2017,31,Essex Light Rail,220
2017,31,Exchange Place,620
2017,31,Garfield Ave Station,37
2017,31,Grove St PATH,873
2017,31,Hamilton Park,544
2017,31,Heights Elevator,60
2017,31,Hilltop,92
2017,31,JC Medical Center,148
2017,31,Jersey & 3rd,221
2017,31,Jersey & 6th St,155
2017,31,Lafayette Park,74
2017,31,Leonard Gordon Park,56
2017,31,Liberty Light Rail,218
2017,31,Lincoln Park,68
2017,31,MLK Light Rail,5
2017,31,Manila & 1st,160
2017,31,Marin Light Rail,261
2017,31,McGinley Square,180
2017,31,Monmouth and 6th,141
2017,31,Morris Canal,332
2017,31,NJCU,3
2017,31,Newark Ave,244
2017,31,Newport PATH,356
2017,31,Newport Pkwy,295
2017,31,North St,9
2017,31,Oakland Ave,109
2017,31,Paulus Hook,235
2017,31,Pershing Field,73
2017,31,Riverview Park,58
2017,31,Sip Ave,425
2017,31,Union St,26
2017,31,Van Vorst Park,262
2017,31,Warren St,304
2017,31,West Side Light Rail,17
2017,32,5 Corners Library,80
2017,32,Astor Place,55
2017,32,Baldwin at Montgomery,113
2017,32,Bayside Park,8
2017,32,Bethune Center,1
2017,32,Brunswick & 6th,153
2017,32,Brunswick St,190
2017,32,Christ Hospital,70
2017,32,City Hall,225
2017,32,Columbia Park,16
2017,32,Columbus Drive,246
2017,32,Communipaw & Berry Lane,21
2017,32,Danforth Light Rail,6
2017,32,Dey St,39
2017,32,Dixon Mills,147
2017,32,Essex Light Rail,240
2017,32,Exchange Place,498
2017,32,Garfield Ave Station,36
2017,32,Grove St PATH,849
2017,32,Hamilton Park,547
2017,32,Heights Elevator,61
2017,32,Hilltop,67
2017,32,JC Medical Center,145
2017,32,Jersey & 3rd,174
2017,32,Jersey & 6th St,159
2017,32,Lafayette Park,71
2017,32,Leonard Gordon Park,58
2017,32,Liberty Light Rail,220
2017,32,Lincoln Park,54
2017,32,MLK Light Rail,7
2017,32,Manila & 1st,139
2017,32,Marin Light Rail,230
2017,32,McGinley Square,164
