lat,long,year,week,count
40.71821129999999,-74.08363940000001,2015,39,2
40.711130499999996,-74.0788855,2015,39,4
40.6970299,-74.09693659999999,2015,39,8
40.714402,-74.0887723,2015,39,10
40.7104670233797,-74.07003879547119,2015,39,14
40.698650544,-74.082079678,2015,39,16
40.710108700000006,-74.0858489,2015,39,17
40.7467299,-74.0492509,2015,39,25
40.73496102000952,-74.05950307846071,2015,39,43
40.752559000000005,-74.044725,2015,39,49
40.7376037,-74.05247829999999,2015,39,51
40.748715945380226,-74.04044330120088,2015,39,52
40.737711,-74.066921,2015,39,55
40.7246050998869,-74.07840594649316,2015,39,64
40.7236589,-74.0641943,2015,39,66
40.734785818,-74.050443636,2015,39,68
40.7443187,-74.04399090000001,2015,39,75
40.7311689,-74.0575736,2015,39,86
40.742677141,-74.051788633,2015,39,90
40.7253399253558,-74.06762212514876,2015,39,110
40.711242299999995,-74.0557013,2015,39,147
40.71653978099194,-74.0496379137039,2015,39,152
40.7241765,-74.05065640000001,2015,39,186
40.721123600000006,-74.03805095,2015,39,203
40.712774200000005,-74.03648570000001,2015,39,218
40.7141454,-74.0335519,2015,39,222
40.71848892,-74.047726625,2015,39,227
40.717732500000004,-74.04384499999999,2015,39,238
40.72152515,-74.046304543,2015,39,245
40.728744799999994,-74.03210820000001,2015,39,252
40.730742625306576,-74.06378388404845,2015,39,252
40.7272235,-74.03375890000001,2015,39,265
40.727595965999996,-74.044247311,2015,39,357
40.7162469,-74.0334588,2015,39,363
40.71958611647166,-74.0431174635887,2015,39,472
40.71821129999999,-74.08363940000001,2015,40,1
40.6970299,-74.09693659999999,2015,40,2
40.698650544,-74.082079678,2015,40,6
40.711130499999996,-74.0788855,2015,40,8
40.710108700000006,-74.0858489,2015,40,15
40.7104670233797,-74.07003879547119,2015,40,17
40.714402,-74.0887723,2015,40,20
40.748715945380226,-74.04044330120088,2015,40,20
40.752559000000005,-74.044725,2015,40,24
40.7467299,-74.0492509,2015,40,26
40.73496102000952,-74.05950307846071,2015,40,33
40.7311689,-74.0575736,2015,40,43
40.737711,-74.066921,2015,40,43
40.7443187,-74.04399090000001,2015,40,43
40.7236589,-74.0641943,2015,40,54
40.711242299999995,-74.0557013,2015,40,55
40.734785818,-74.050443636,2015,40,58
40.7246050998869,-74.07840594649316,2015,40,59
40.742677141,-74.051788633,2015,40,62
40.7376037,-74.05247829999999,2015,40,74
40.71653978099194,-74.0496379137039,2015,40,81
40.7253399253558,-74.06762212514876,2015,40,99
40.717732500000004,-74.04384499999999,2015,40,129
40.7141454,-74.0335519,2015,40,133
40.71848892,-74.047726625,2015,40,143
40.728744799999994,-74.03210820000001,2015,40,154
40.712774200000005,-74.03648570000001,2015,40,158
40.7241765,-74.05065640000001,2015,40,172
40.72152515,-74.046304543,2015,40,180
40.721123600000006,-74.03805095,2015,40,181
40.7272235,-74.03375890000001,2015,40,240
40.730742625306576,-74.06378388404845,2015,40,241
40.7162469,-74.0334588,2015,40,293
40.727595965999996,-74.044247311,2015,40,310
40.71958611647166,-74.0431174635887,2015,40,410
40.711130499999996,-74.0788855,2015,41,2
40.6970299,-74.09693659999999,2015,41,6
40.698650544,-74.082079678,2015,41,6
40.714402,-74.0887723,2015,41,10
40.71821129999999,-74.08363940000001,2015,41,14
40.752559000000005,-74.044725,2015,41,14
40.710108700000006,-74.0858489,2015,41,18
40.7104670233797,-74.07003879547119,2015,41,20
40.748715945380226,-74.04044330120088,2015,41,36
40.7467299,-74.0492509,2015,41,37
40.73496102000952,-74.05950307846071,2015,41,57
40.737711,-74.066921,2015,41,66
40.7443187,-74.04399090000001,2015,41,68
40.7246050998869,-74.07840594649316,2015,41,75
40.734785818,-74.050443636,2015,41,78
40.7311689,-74.0575736,2015,41,80
40.7236589,-74.0641943,2015,41,84
40.742677141,-74.051788633,2015,41,87
40.7376037,-74.05247829999999,2015,41,89
40.71653978099194,-74.0496379137039,2015,41,115
40.711242299999995,-74.0557013,2015,41,133
40.7253399253558,-74.06762212514876,2015,41,138
