station,season,year,week,count
MLK Light Rail,summer,2015,39,1
Union St,autumn,2015,39,2
Bayside Park,summer,2015,39,3
Columbia Park,summer,2015,39,3
MLK Light Rail,autumn,2015,39,3
West Side Light Rail,summer,2015,39,4
Central Ave,summer,2015,39,5
Columbia Park,autumn,2015,39,5
North St,summer,2015,39,6
West Side Light Rail,autumn,2015,39,6
Dey St,summer,2015,39,7
Oakland Ave,summer,2015,39,7
NJCU,autumn,2015,39,8
Baldwin at Montgomery,summer,2015,39,9
Christ Hospital,summer,2015,39,9
Heights Elevator,summer,2015,39,9
NJCU,summer,2015,39,9
5 Corners Library,summer,2015,39,10
Liberty Light Rail,summer,2015,39,10
Bayside Park,autumn,2015,39,13
Garfield Ave Station,autumn,2015,39,14
Hilltop,summer,2015,39,14
Riverview Park,summer,2015,39,14
Lincoln Park,summer,2015,39,15
Pershing Field,summer,2015,39,15
JC Medical Center,summer,2015,39,16
Central Ave,autumn,2015,39,20
McGinley Square,summer,2015,39,21
Paulus Hook,summer,2015,39,25
Newport Pkwy,summer,2015,39,27
Essex Light Rail,summer,2015,39,32
5 Corners Library,autumn,2015,39,33
Van Vorst Park,summer,2015,39,34
Warren St,summer,2015,39,35
Brunswick St,summer,2015,39,38
Heights Elevator,autumn,2015,39,43
Newark Ave,summer,2015,39,43
North St,autumn,2015,39,43
Oakland Ave,autumn,2015,39,44
Newport PATH,summer,2015,39,47
Dey St,autumn,2015,39,48
Lincoln Park,autumn,2015,39,49
Hamilton Park,summer,2015,39,55
Sip Ave,summer,2015,39,55
Baldwin at Montgomery,autumn,2015,39,57
Christ Hospital,autumn,2015,39,59
Riverview Park,autumn,2015,39,61
City Hall,summer,2015,39,63
Hilltop,autumn,2015,39,72
Pershing Field,autumn,2015,39,75
McGinley Square,autumn,2015,39,89
Exchange Place,summer,2015,39,93
Grove St PATH,summer,2015,39,98
JC Medical Center,autumn,2015,39,136
Liberty Light Rail,autumn,2015,39,137
Brunswick St,autumn,2015,39,148
Warren St,autumn,2015,39,168
City Hall,autumn,2015,39,175
Essex Light Rail,autumn,2015,39,186
Van Vorst Park,autumn,2015,39,193
Paulus Hook,autumn,2015,39,197
Sip Ave,autumn,2015,39,197
Newark Ave,autumn,2015,39,202
Newport PATH,autumn,2015,39,218
Newport Pkwy,autumn,2015,39,225
Exchange Place,autumn,2015,39,270
Hamilton Park,autumn,2015,39,302
Grove St PATH,autumn,2015,39,374
Union St,autumn,2015,40,1
Columbia Park,autumn,2015,40,2
Bayside Park,autumn,2015,40,6
MLK Light Rail,autumn,2015,40,8
NJCU,autumn,2015,40,15
Garfield Ave Station,autumn,2015,40,17
Heights Elevator,autumn,2015,40,20
West Side Light Rail,autumn,2015,40,20
North St,autumn,2015,40,24
Central Ave,autumn,2015,40,26
5 Corners Library,autumn,2015,40,33
Dey St,autumn,2015,40,43
Hilltop,autumn,2015,40,43
Riverview Park,autumn,2015,40,43
Baldwin at Montgomery,autumn,2015,40,54
Liberty Light Rail,autumn,2015,40,55
Christ Hospital,autumn,2015,40,58
Lincoln Park,autumn,2015,40,59
Pershing Field,autumn,2015,40,62
Oakland Ave,autumn,2015,40,74
JC Medical Center,autumn,2015,40,81
McGinley Square,autumn,2015,40,99
City Hall,autumn,2015,40,129
Paulus Hook,autumn,2015,40,133
Van Vorst Park,autumn,2015,40,143
Newport Pkwy,autumn,2015,40,154
Essex Light Rail,autumn,2015,40,158
Brunswick St,autumn,2015,40,172
Newark Ave,autumn,2015,40,180
Warren St,autumn,2015,40,181
Newport PATH,autumn,2015,40,240
Sip Ave,autumn,2015,40,241
Exchange Place,autumn,2015,40,293
Hamilton Park,autumn,2015,40,310
Grove St PATH,autumn,2015,40,410
MLK Light Rail,autumn,2015,41,2
Bayside Park,autumn,2015,41,6
Columbia Park,autumn,2015,41,6
West Side Light Rail,autumn,2015,41,10
North St,autumn,2015,41,14
Union St,autumn,2015,41,14
NJCU,autumn,2015,41,18
Garfield Ave Station,autumn,2015,41,20
Heights Elevator,autumn,2015,41,36
Central Ave,autumn,2015,41,37
5 Corners Library,autumn,2015,41,57
Dey St,autumn,2015,41,66
Riverview Park,autumn,2015,41,68
Lincoln Park,autumn,2015,41,75
Christ Hospital,autumn,2015,41,78
Hilltop,autumn,2015,41,80
Baldwin at Montgomery,autumn,2015,41,84
Pershing Field,autumn,2015,41,87
Oakland Ave,autumn,2015,41,89
JC Medical Center,autumn,2015,41,115
Liberty Light Rail,autumn,2015,41,133
McGinley Square,autumn,2015,41,138
City Hall,autumn,2015,41,196
Newport Pkwy,autumn,2015,41,223
Paulus Hook,autumn,2015,41,225
Van Vorst Park,autumn,2015,41,231
Brunswick St,autumn,2015,41,233
Warren St,autumn,2015,41,237
Newark Ave,autumn,2015,41,249
Essex Light Rail,autumn,2015,41,273
Sip Ave,autumn,2015,41,316
Hamilton Park,autumn,2015,41,345
Newport PATH,autumn,2015,41,365
Exchange Place,autumn,2015,41,407
Grove St PATH,autumn,2015,41,546
Bayside Park,autumn,2015,42,6
Union St,autumn,2015,42,6
Columbia Park,autumn,2015,42,7
MLK Light Rail,autumn,2015,42,7
North St,autumn,2015,42,8
West Side Light Rail,autumn,2015,42,14
Garfield Ave Station,autumn,2015,42,15
NJCU,autumn,2015,42,19
Central Ave,autumn,2015,42,29
Heights Elevator,autumn,2015,42,41
5 Corners Library,autumn,2015,42,46
Riverview Park,autumn,2015,42,50
Dey St,autumn,2015,42,57
Oakland Ave,autumn,2015,42,61
Lincoln Park,autumn,2015,42,69
Hilltop,autumn,2015,42,71
Christ Hospital,autumn,2015,42,74
Baldwin at Montgomery,autumn,2015,42,86
Liberty Light Rail,autumn,2015,42,93
Pershing Field,autumn,2015,42,93
McGinley Square,autumn,2015,42,113
JC Medical Center,autumn,2015,42,120
Paulus Hook,autumn,2015,42,156
City Hall,autumn,2015,42,162
Warren St,autumn,2015,42,196
Newark Ave,autumn,2015,42,199
Newport Pkwy,autumn,2015,42,210
Brunswick St,autumn,2015,42,222
Van Vorst Park,autumn,2015,42,233
Essex Light Rail,autumn,2015,42,235
Sip Ave,autumn,2015,42,274
Newport PATH,autumn,2015,42,308
Hamilton Park,autumn,2015,42,337
Exchange Place,autumn,2015,42,397
Grove St PATH,autumn,2015,42,562
MLK Light Rail,autumn,2015,43,2
Columbia Park,autumn,2015,43,6
Bayside Park,autumn,2015,43,7
Union St,autumn,2015,43,8
Garfield Ave Station,autumn,2015,43,11
West Side Light Rail,autumn,2015,43,21
NJCU,autumn,2015,43,23
North St,autumn,2015,43,30
Dey St,autumn,2015,43,34
Central Ave,autumn,2015,43,37
Heights Elevator,autumn,2015,43,39
Riverview Park,autumn,2015,43,42
Lincoln Park,autumn,2015,43,61
Christ Hospital,autumn,2015,43,64
5 Corners Library,autumn,2015,43,65
Oakland Ave,autumn,2015,43,69
Hilltop,autumn,2015,43,79
Baldwin at Montgomery,autumn,2015,43,87
Pershing Field,autumn,2015,43,89
JC Medical Center,autumn,2015,43,99
Liberty Light Rail,autumn,2015,43,100
McGinley Square,autumn,2015,43,103
City Hall,autumn,2015,43,144
Paulus Hook,autumn,2015,43,155
Warren St,autumn,2015,43,191
Newark Ave,autumn,2015,43,195
Essex Light Rail,autumn,2015,43,201
Newport Pkwy,autumn,2015,43,205
Van Vorst Park,autumn,2015,43,211
Brunswick St,autumn,2015,43,235
Sip Ave,autumn,2015,43,272
Newport PATH,autumn,2015,43,311
Hamilton Park,autumn,2015,43,334
Exchange Place,autumn,2015,43,343
Grove St PATH,autumn,2015,43,539
North St,autumn,2015,44,1
Bayside Park,autumn,2015,44,4
MLK Light Rail,autumn,2015,44,4
Columbia Park,autumn,2015,44,7
Union St,autumn,2015,44,7
West Side Light Rail,autumn,2015,44,9
NJCU,autumn,2015,44,15
Garfield Ave Station,autumn,2015,44,16
Heights Elevator,autumn,2015,44,29
Riverview Park,autumn,2015,44,31
Dey St,autumn,2015,44,33
Central Ave,autumn,2015,44,40
5 Corners Library,autumn,2015,44,43
Lincoln Park,autumn,2015,44,56
Christ Hospital,autumn,2015,44,61
Hilltop,autumn,2015,44,64
Pershing Field,autumn,2015,44,71
Liberty Light Rail,autumn,2015,44,73
Oakland Ave,autumn,2015,44,84
Baldwin at Montgomery,autumn,2015,44,89
JC Medical Center,autumn,2015,44,95
McGinley Square,autumn,2015,44,109
Paulus Hook,autumn,2015,44,131
City Hall,autumn,2015,44,139
Warren St,autumn,2015,44,173
Van Vorst Park,autumn,2015,44,176
Newport Pkwy,autumn,2015,44,187
Brunswick St,autumn,2015,44,212
Newark Ave,autumn,2015,44,213
Essex Light Rail,autumn,2015,44,219
Sip Ave,autumn,2015,44,247
Hamilton Park,autumn,2015,44,304
Newport PATH,autumn,2015,44,310
Exchange Place,autumn,2015,44,324
Grove St PATH,autumn,2015,44,488
MLK Light Rail,autumn,2015,45,6
Union St,autumn,2015,45,7
Bayside Park,autumn,2015,45,8
West Side Light Rail,autumn,2015,45,10
Columbia Park,autumn,2015,45,11
Garfield Ave Station,autumn,2015,45,11
North St,autumn,2015,45,11
NJCU,autumn,2015,45,12
Riverview Park,autumn,2015,45,18
Dey St,autumn,2015,45,29
Heights Elevator,autumn,2015,45,31
Central Ave,autumn,2015,45,42
5 Corners Library,autumn,2015,45,63
Oakland Ave,autumn,2015,45,71
Hilltop,autumn,2015,45,74
Christ Hospital,autumn,2015,45,75
Lincoln Park,autumn,2015,45,78
Pershing Field,autumn,2015,45,84
Liberty Light Rail,autumn,2015,45,90
Baldwin at Montgomery,autumn,2015,45,93
JC Medical Center,autumn,2015,45,101
McGinley Square,autumn,2015,45,117
City Hall,autumn,2015,45,162
Paulus Hook,autumn,2015,45,185
Warren St,autumn,2015,45,186
Van Vorst Park,autumn,2015,45,189
Newport Pkwy,autumn,2015,45,191
Newark Ave,autumn,2015,45,197
Brunswick St,autumn,2015,45,236
Essex Light Rail,autumn,2015,45,263
Sip Ave,autumn,2015,45,278
Hamilton Park,autumn,2015,45,314
Newport PATH,autumn,2015,45,320
Exchange Place,autumn,2015,45,401
Grove St PATH,autumn,2015,45,574
Columbia Park,autumn,2015,46,2
MLK Light Rail,autumn,2015,46,3
Union St,autumn,2015,46,3
Bayside Park,autumn,2015,46,5
NJCU,autumn,2015,46,7
West Side Light Rail,autumn,2015,46,7
North St,autumn,2015,46,9
Garfield Ave Station,autumn,2015,46,10
Heights Elevator,autumn,2015,46,13
Riverview Park,autumn,2015,46,13
Dey St,autumn,2015,46,38
Central Ave,autumn,2015,46,40
5 Corners Library,autumn,2015,46,43
Lincoln Park,autumn,2015,46,48
Liberty Light Rail,autumn,2015,46,52
Hilltop,autumn,2015,46,53
Christ Hospital,autumn,2015,46,56
Pershing Field,autumn,2015,46,64
JC Medical Center,autumn,2015,46,69
Baldwin at Montgomery,autumn,2015,46,72
Oakland Ave,autumn,2015,46,72
McGinley Square,autumn,2015,46,102
Paulus Hook,autumn,2015,46,112
City Hall,autumn,2015,46,132
Warren St,autumn,2015,46,132
Van Vorst Park,autumn,2015,46,147
Newport Pkwy,autumn,2015,46,154
Newark Ave,autumn,2015,46,172
Essex Light Rail,autumn,2015,46,187
Newport PATH,autumn,2015,46,202
Brunswick St,autumn,2015,46,226
Exchange Place,autumn,2015,46,226
Sip Ave,autumn,2015,46,243
Hamilton Park,autumn,2015,46,291
Grove St PATH,autumn,2015,46,369
MLK Light Rail,autumn,2015,47,1
NJCU,autumn,2015,47,2
Union St,autumn,2015,47,3
Columbia Park,autumn,2015,47,6
Bayside Park,autumn,2015,47,7
West Side Light Rail,autumn,2015,47,7
Garfield Ave Station,autumn,2015,47,10
North St,autumn,2015,47,11
Riverview Park,autumn,2015,47,19
Heights Elevator,autumn,2015,47,33
Central Ave,autumn,2015,47,35
5 Corners Library,autumn,2015,47,38
Dey St,autumn,2015,47,41
Christ Hospital,autumn,2015,47,48
Lincoln Park,autumn,2015,47,54
Hilltop,autumn,2015,47,55
Liberty Light Rail,autumn,2015,47,61
Baldwin at Montgomery,autumn,2015,47,65
Oakland Ave,autumn,2015,47,66
Pershing Field,autumn,2015,47,76
JC Medical Center,autumn,2015,47,77
McGinley Square,autumn,2015,47,104
Paulus Hook,autumn,2015,47,116
City Hall,autumn,2015,47,129
Newport Pkwy,autumn,2015,47,143
Warren St,autumn,2015,47,149
Newark Ave,autumn,2015,47,198
Van Vorst Park,autumn,2015,47,200
Brunswick St,autumn,2015,47,222
Essex Light Rail,autumn,2015,47,223
Sip Ave,autumn,2015,47,224
Newport PATH,autumn,2015,47,238
Exchange Place,autumn,2015,47,292
Hamilton Park,autumn,2015,47,310
Grove St PATH,autumn,2015,47,414
Columbia Park,autumn,2015,48,2
Union St,autumn,2015,48,3
West Side Light Rail,autumn,2015,48,3
Bayside Park,autumn,2015,48,4
Garfield Ave Station,autumn,2015,48,4
Heights Elevator,autumn,2015,48,8
NJCU,autumn,2015,48,8
North St,autumn,2015,48,9
Riverview Park,autumn,2015,48,16
Dey St,autumn,2015,48,24
Baldwin at Montgomery,autumn,2015,48,26
Central Ave,autumn,2015,48,30
5 Corners Library,autumn,2015,48,35
Hilltop,autumn,2015,48,38
Oakland Ave,autumn,2015,48,41
Christ Hospital,autumn,2015,48,48
Lincoln Park,autumn,2015,48,48
Liberty Light Rail,autumn,2015,48,49
Pershing Field,autumn,2015,48,53
JC Medical Center,autumn,2015,48,61
McGinley Square,autumn,2015,48,88
Paulus Hook,autumn,2015,48,88
City Hall,autumn,2015,48,98
Newport Pkwy,autumn,2015,48,102
Warren St,autumn,2015,48,119
Newark Ave,autumn,2015,48,125
Essex Light Rail,autumn,2015,48,135
Newport PATH,autumn,2015,48,137
Van Vorst Park,autumn,2015,48,138
Brunswick St,autumn,2015,48,161
Sip Ave,autumn,2015,48,182
Exchange Place,autumn,2015,48,183
Hamilton Park,autumn,2015,48,195
Grove St PATH,autumn,2015,48,283
Columbia Park,autumn,2015,49,2
Union St,autumn,2015,49,3
Bayside Park,autumn,2015,49,4
MLK Light Rail,autumn,2015,49,4
West Side Light Rail,autumn,2015,49,6
NJCU,autumn,2015,49,10
Garfield Ave Station,autumn,2015,49,11
North St,autumn,2015,49,12
Heights Elevator,autumn,2015,49,13
Riverview Park,autumn,2015,49,21
Dey St,autumn,2015,49,26
Baldwin at Montgomery,autumn,2015,49,37
Hilltop,autumn,2015,49,39
Liberty Light Rail,autumn,2015,49,44
5 Corners Library,autumn,2015,49,45
Central Ave,autumn,2015,49,50
JC Medical Center,autumn,2015,49,51
Oakland Ave,autumn,2015,49,53
Lincoln Park,autumn,2015,49,55
Christ Hospital,autumn,2015,49,63
Pershing Field,autumn,2015,49,68
Paulus Hook,autumn,2015,49,88
Warren St,autumn,2015,49,92
McGinley Square,autumn,2015,49,106
City Hall,autumn,2015,49,107
Newport Pkwy,autumn,2015,49,118
Van Vorst Park,autumn,2015,49,135
Newark Ave,autumn,2015,49,142
Essex Light Rail,autumn,2015,49,152
Newport PATH,autumn,2015,49,154
Sip Ave,autumn,2015,49,176
Brunswick St,autumn,2015,49,184
Exchange Place,autumn,2015,49,198
Hamilton Park,autumn,2015,49,257
Grove St PATH,autumn,2015,49,313
Union St,autumn,2015,50,1
Bayside Park,autumn,2015,50,3
West Side Light Rail,autumn,2015,50,3
MLK Light Rail,autumn,2015,50,7
NJCU,autumn,2015,50,16
Dey St,autumn,2015,50,19
Heights Elevator,autumn,2015,50,19
North St,autumn,2015,50,19
Garfield Ave Station,autumn,2015,50,20
Riverview Park,autumn,2015,50,29
5 Corners Library,autumn,2015,50,32
Lincoln Park,autumn,2015,50,52
Central Ave,autumn,2015,50,54
Hilltop,autumn,2015,50,62
Liberty Light Rail,autumn,2015,50,65
Christ Hospital,autumn,2015,50,66
Baldwin at Montgomery,autumn,2015,50,67
Oakland Ave,autumn,2015,50,67
Pershing Field,autumn,2015,50,79
JC Medical Center,autumn,2015,50,94
McGinley Square,autumn,2015,50,97
Paulus Hook,autumn,2015,50,112
Warren St,autumn,2015,50,128
Newport Pkwy,autumn,2015,50,139
City Hall,autumn,2015,50,140
Van Vorst Park,autumn,2015,50,153
Newark Ave,autumn,2015,50,168
Essex Light Rail,autumn,2015,50,189
Brunswick St,autumn,2015,50,202
Exchange Place,autumn,2015,50,218
Newport PATH,autumn,2015,50,219
Sip Ave,autumn,2015,50,247
Hamilton Park,autumn,2015,50,259
Grove St PATH,autumn,2015,50,316
Bayside Park,autumn,2015,51,1
Columbia Park,autumn,2015,51,3
Union St,autumn,2015,51,3
West Side Light Rail,autumn,2015,51,3
MLK Light Rail,autumn,2015,51,4
North St,autumn,2015,51,6
Garfield Ave Station,autumn,2015,51,14
NJCU,autumn,2015,51,15
Heights Elevator,autumn,2015,51,18
Riverview Park,autumn,2015,51,19
Dey St,autumn,2015,51,23
5 Corners Library,autumn,2015,51,35
Hilltop,autumn,2015,51,35
Central Ave,autumn,2015,51,40
Lincoln Park,autumn,2015,51,43
Liberty Light Rail,autumn,2015,51,46
Baldwin at Montgomery,autumn,2015,51,51
Christ Hospital,autumn,2015,51,52
Oakland Ave,autumn,2015,51,56
Pershing Field,autumn,2015,51,63
JC Medical Center,autumn,2015,51,69
McGinley Square,autumn,2015,51,95
Paulus Hook,autumn,2015,51,95
Newport Pkwy,autumn,2015,51,106
City Hall,autumn,2015,51,108
Warren St,autumn,2015,51,117
Newark Ave,autumn,2015,51,129
Essex Light Rail,autumn,2015,51,148
Van Vorst Park,autumn,2015,51,160
Brunswick St,autumn,2015,51,173
Newport PATH,autumn,2015,51,179
Exchange Place,autumn,2015,51,191
Sip Ave,autumn,2015,51,204
Hamilton Park,autumn,2015,51,251
Grove St PATH,autumn,2015,51,339
Columbia Park,winter,2015,52,1
MLK Light Rail,winter,2015,52,1
Union St,winter,2015,52,1
Bayside Park,winter,2015,52,5
NJCU,winter,2015,52,6
North St,winter,2015,52,7
Garfield Ave Station,winter,2015,52,11
Dey St,winter,2015,52,15
Heights Elevator,winter,2015,52,19
Riverview Park,winter,2015,52,22
Hilltop,winter,2015,52,23
5 Corners Library,winter,2015,52,28
Baldwin at Montgomery,winter,2015,52,29
Central Ave,winter,2015,52,29
Christ Hospital,winter,2015,52,30
Lincoln Park,winter,2015,52,36
Oakland Ave,winter,2015,52,38
Liberty Light Rail,winter,2015,52,39
Pershing Field,winter,2015,52,48
McGinley Square,winter,2015,52,57
City Hall,winter,2015,52,61
JC Medical Center,winter,2015,52,63
Paulus Hook,winter,2015,52,76
Newport Pkwy,winter,2015,52,84
Warren St,winter,2015,52,84
Newark Ave,winter,2015,52,86
Essex Light Rail,winter,2015,52,95
Van Vorst Park,winter,2015,52,103
Brunswick St,winter,2015,52,113
Newport PATH,winter,2015,52,131
Hamilton Park,winter,2015,52,143
Sip Ave,winter,2015,52,145
Exchange Place,winter,2015,52,173
Grove St PATH,winter,2015,52,214
West Side Light Rail,winter,2015,53,2
Heights Elevator,winter,2015,53,4
Dey St,winter,2015,53,6
Garfield Ave Station,winter,2015,53,7
North St,winter,2015,53,7
Central Ave,winter,2015,53,10
Baldwin at Montgomery,winter,2015,53,11
Hilltop,winter,2015,53,13
Riverview Park,winter,2015,53,13
5 Corners Library,winter,2015,53,16
Lincoln Park,winter,2015,53,18
Christ Hospital,winter,2015,53,20
Liberty Light Rail,winter,2015,53,21
JC Medical Center,winter,2015,53,25
Oakland Ave,winter,2015,53,25
City Hall,winter,2015,53,33
Pershing Field,winter,2015,53,33
McGinley Square,winter,2015,53,37
Paulus Hook,winter,2015,53,39
Warren St,winter,2015,53,48
Essex Light Rail,winter,2015,53,50
Newark Ave,winter,2015,53,53
Newport Pkwy,winter,2015,53,55
Van Vorst Park,winter,2015,53,62
Brunswick St,winter,2015,53,65
Newport PATH,winter,2015,53,89
Sip Ave,winter,2015,53,97
Exchange Place,winter,2015,53,100
Hamilton Park,winter,2015,53,109
Grove St PATH,winter,2015,53,150
MLK Light Rail,winter,2016,1,1
NJCU,winter,2016,1,2
Union St,winter,2016,1,3
Bayside Park,winter,2016,1,4
Garfield Ave Station,winter,2016,1,9
Heights Elevator,winter,2016,1,9
Central Ave,winter,2016,1,15
North St,winter,2016,1,15
Dey St,winter,2016,1,17
Riverview Park,winter,2016,1,21
Hilltop,winter,2016,1,28
JC Medical Center,winter,2016,1,30
Baldwin at Montgomery,winter,2016,1,31
Christ Hospital,winter,2016,1,35
Lincoln Park,winter,2016,1,35
5 Corners Library,winter,2016,1,36
Liberty Light Rail,winter,2016,1,38
Oakland Ave,winter,2016,1,42
Pershing Field,winter,2016,1,55
Paulus Hook,winter,2016,1,59
City Hall,winter,2016,1,71
Warren St,winter,2016,1,77
McGinley Square,winter,2016,1,80
Newport Pkwy,winter,2016,1,94
Newark Ave,winter,2016,1,121
Essex Light Rail,winter,2016,1,133
Van Vorst Park,winter,2016,1,137
Brunswick St,winter,2016,1,140
Newport PATH,winter,2016,1,144
Exchange Place,winter,2016,1,165
Sip Ave,winter,2016,1,185
Hamilton Park,winter,2016,1,193
Grove St PATH,winter,2016,1,251
Columbia Park,winter,2016,2,1
MLK Light Rail,winter,2016,2,1
Bayside Park,winter,2016,2,2
Union St,winter,2016,2,2
NJCU,winter,2016,2,3
North St,winter,2016,2,3
Garfield Ave Station,winter,2016,2,5
Heights Elevator,winter,2016,2,6
Central Ave,winter,2016,2,15
Riverview Park,winter,2016,2,18
Dey St,winter,2016,2,20
Hilltop,winter,2016,2,24
Lincoln Park,winter,2016,2,25
Baldwin at Montgomery,winter,2016,2,30
5 Corners Library,winter,2016,2,31
Christ Hospital,winter,2016,2,37
Liberty Light Rail,winter,2016,2,38
Oakland Ave,winter,2016,2,41
City Hall,winter,2016,2,46
JC Medical Center,winter,2016,2,47
Pershing Field,winter,2016,2,50
Paulus Hook,winter,2016,2,63
Newport Pkwy,winter,2016,2,84
Warren St,winter,2016,2,88
McGinley Square,winter,2016,2,89
Newark Ave,winter,2016,2,94
Essex Light Rail,winter,2016,2,115
Van Vorst Park,winter,2016,2,129
Brunswick St,winter,2016,2,151
Newport PATH,winter,2016,2,156
Sip Ave,winter,2016,2,162
Exchange Place,winter,2016,2,169
Hamilton Park,winter,2016,2,213
Grove St PATH,winter,2016,2,293
Columbia Park,winter,2016,3,1
North St,winter,2016,3,1
West Side Light Rail,winter,2016,3,1
Garfield Ave Station,winter,2016,3,4
Central Ave,winter,2016,3,6
Heights Elevator,winter,2016,3,7
NJCU,winter,2016,3,7
Riverview Park,winter,2016,3,10
Lincoln Park,winter,2016,3,11
5 Corners Library,winter,2016,3,14
Dey St,winter,2016,3,14
Hilltop,winter,2016,3,14
Baldwin at Montgomery,winter,2016,3,18
JC Medical Center,winter,2016,3,18
Oakland Ave,winter,2016,3,23
Liberty Light Rail,winter,2016,3,24
Christ Hospital,winter,2016,3,28
Pershing Field,winter,2016,3,31
Warren St,winter,2016,3,42
City Hall,winter,2016,3,44
Newport Pkwy,winter,2016,3,49
Paulus Hook,winter,2016,3,53
McGinley Square,winter,2016,3,56
Newark Ave,winter,2016,3,75
Essex Light Rail,winter,2016,3,79
Newport PATH,winter,2016,3,87
Van Vorst Park,winter,2016,3,87
Brunswick St,winter,2016,3,100
Exchange Place,winter,2016,3,102
Hamilton Park,winter,2016,3,121
Sip Ave,winter,2016,3,121
Grove St PATH,winter,2016,3,191
Columbia Park,winter,2016,4,1
Garfield Ave Station,winter,2016,4,1
MLK Light Rail,winter,2016,4,1
Oakland Ave,winter,2016,4,5
Central Ave,winter,2016,4,6
Heights Elevator,winter,2016,4,6
Riverview Park,winter,2016,4,6
Hilltop,winter,2016,4,7
5 Corners Library,winter,2016,4,8
Dey St,winter,2016,4,9
JC Medical Center,winter,2016,4,10
Lincoln Park,winter,2016,4,13
Pershing Field,winter,2016,4,17
Baldwin at Montgomery,winter,2016,4,18
Christ Hospital,winter,2016,4,18
Liberty Light Rail,winter,2016,4,19
Essex Light Rail,winter,2016,4,25
Newark Ave,winter,2016,4,28
City Hall,winter,2016,4,29
Newport Pkwy,winter,2016,4,29
Brunswick St,winter,2016,4,31
Warren St,winter,2016,4,34
Paulus Hook,winter,2016,4,35
McGinley Square,winter,2016,4,47
Newport PATH,winter,2016,4,58
Exchange Place,winter,2016,4,66
Van Vorst Park,winter,2016,4,71
Hamilton Park,winter,2016,4,73
Sip Ave,winter,2016,4,86
Grove St PATH,winter,2016,4,110
Columbia Park,winter,2016,5,2
Garfield Ave Station,winter,2016,5,2
Union St,winter,2016,5,2
West Side Light Rail,winter,2016,5,3
NJCU,winter,2016,5,4
MLK Light Rail,winter,2016,5,5
North St,winter,2016,5,9
Riverview Park,winter,2016,5,9
Heights Elevator,winter,2016,5,12
Dey St,winter,2016,5,15
Central Ave,winter,2016,5,16
Hilltop,winter,2016,5,26
Baldwin at Montgomery,winter,2016,5,27
5 Corners Library,winter,2016,5,28
Lincoln Park,winter,2016,5,28
JC Medical Center,winter,2016,5,31
Christ Hospital,winter,2016,5,34
Pershing Field,winter,2016,5,40
Oakland Ave,winter,2016,5,41
Liberty Light Rail,winter,2016,5,49
Warren St,winter,2016,5,54
Paulus Hook,winter,2016,5,64
City Hall,winter,2016,5,73
Newport Pkwy,winter,2016,5,79
McGinley Square,winter,2016,5,83
Essex Light Rail,winter,2016,5,85
Van Vorst Park,winter,2016,5,103
Newark Ave,winter,2016,5,109
Newport PATH,winter,2016,5,135
Brunswick St,winter,2016,5,137
Exchange Place,winter,2016,5,149
Hamilton Park,winter,2016,5,171
Sip Ave,winter,2016,5,176
Grove St PATH,winter,2016,5,244
Columbia Park,winter,2016,6,1
MLK Light Rail,winter,2016,6,2
West Side Light Rail,winter,2016,6,3
Garfield Ave Station,winter,2016,6,4
North St,winter,2016,6,4
NJCU,winter,2016,6,5
Riverview Park,winter,2016,6,9
Heights Elevator,winter,2016,6,10
5 Corners Library,winter,2016,6,13
Dey St,winter,2016,6,13
Hilltop,winter,2016,6,13
Baldwin at Montgomery,winter,2016,6,16
Central Ave,winter,2016,6,17
JC Medical Center,winter,2016,6,18
Lincoln Park,winter,2016,6,20
Christ Hospital,winter,2016,6,29
Oakland Ave,winter,2016,6,29
Pershing Field,winter,2016,6,30
Liberty Light Rail,winter,2016,6,32
Warren St,winter,2016,6,34
City Hall,winter,2016,6,39
Paulus Hook,winter,2016,6,52
Essex Light Rail,winter,2016,6,60
Newport Pkwy,winter,2016,6,62
Newark Ave,winter,2016,6,63
Exchange Place,winter,2016,6,74
McGinley Square,winter,2016,6,78
Newport PATH,winter,2016,6,92
Van Vorst Park,winter,2016,6,109
Brunswick St,winter,2016,6,116
Hamilton Park,winter,2016,6,124
Sip Ave,winter,2016,6,158
Grove St PATH,winter,2016,6,216
Bayside Park,winter,2016,7,3
Garfield Ave Station,winter,2016,7,3
West Side Light Rail,winter,2016,7,3
MLK Light Rail,winter,2016,7,5
Union St,winter,2016,7,5
NJCU,winter,2016,7,6
Heights Elevator,winter,2016,7,11
North St,winter,2016,7,12
Dey St,winter,2016,7,15
Riverview Park,winter,2016,7,19
Lincoln Park,winter,2016,7,21
Central Ave,winter,2016,7,22
Hilltop,winter,2016,7,24
5 Corners Library,winter,2016,7,29
Baldwin at Montgomery,winter,2016,7,30
JC Medical Center,winter,2016,7,36
Oakland Ave,winter,2016,7,38
Christ Hospital,winter,2016,7,39
Pershing Field,winter,2016,7,40
Liberty Light Rail,winter,2016,7,59
Warren St,winter,2016,7,66
City Hall,winter,2016,7,72
Paulus Hook,winter,2016,7,72
Newport Pkwy,winter,2016,7,78
Essex Light Rail,winter,2016,7,82
McGinley Square,winter,2016,7,87
Newport PATH,winter,2016,7,92
Van Vorst Park,winter,2016,7,106
Newark Ave,winter,2016,7,109
Exchange Place,winter,2016,7,113
Brunswick St,winter,2016,7,135
Hamilton Park,winter,2016,7,165
